Report ID	Author	Publication Date	Title	Abstract [as written in original source- not edited for this systematic map]	Publication	Country	"LatDD,LonDD"	Production System/Sector	Commodity	Certification Standard	Population	Sampling Unit	Position in Supply Chain	Research Method	Expand on Mixed Methods and Other	Study Design	Social	Social	Economic	Environmental	Education	Poverty	Health and Safety	Nutrition	Gender	Wellbeing	Community Benefits and Development	Knowledge Exchange	Transparency	Management systems	Price Premium	Profitability 	Costs	Market Advantage	Yield	Good Production Practices (including good forest management)	Financial Security	Deforestation	Conservation and Biodiversity	Pollution	Soil Management	Water Management	Input Use	Post-harvest Practices
12593	"Manrique Chica, O.; Rosique Gracia, J."	2014	Food security and food safety in households of day laborers in certified and non-certified coffee farms at the southwest of Antioquia-Colombia	"Background: Few studies have been produced about quality and safety of foods in coffee areas from Antioquia, before and after the change in coffee production models by introducing certified coffees. However, these products are valuable for their positive impact on the economy, quality of life and food security on the sectors involved in production. Objectives: To determine the effect of certification on food security and safety in day laborers households at the Southwest of Antioquia. Methods: We selected 79 households of resident day laborers (41 from certified farms and 38 from non-certified) for comparative analysis. Samples of drinks (juice) in everyday use were collected for analysis by counting the most probable number (MPN) of total (TC) and fecal coliforms (FC), using the technique of Fluorocult LMX (Merck√•¬¨, USA). It was applied the Latin American and Caribbean Food Security Scale (ELCSA) and a survey to assess the availability and access to food, economy, education, housing quality and nutritional status by the Body Mass Index (BMI). After identifying the variables that best represented the components of household food security, we performed an analysis of MDS (Multidimensional Scaling) to find associations between food security components and ELCSA levels. Results: No significant differences were found in food security in the ELCSA, by type of farm. The certified farms had a tendency to be associated to low TC contamination, low incomes and higher food and housing costs. The MDS showed that acceptable quality in total coliform was more associated to certification than to other variables, and FC contamination to mild insecurity. Conclusions: The certification in coffee farms is not significantly associated with household food security of day laborers working in such sites. Meanwhile, CF contamination can be considered as an indicator of mild food insecurity."	Vitae-Revista De La Facultad De Quimica Farmaceutica 21 1 20_29 	Colombia	"5.701147, -76.1050394"	Coffee	Coffee		Farms	Farmers 	Producer	Household surveys	N/A	Matched	Data Reported	Data Reported	No Data Reported	No Data Reported				Data Reported																				
1321	"Maraseni, T. N.; Son, H. L.; Cockfield, G.; Duy, H. V.; Nghia, T. D."	2017	The financial benefits of forest certification: Case studies of acacia growers and a furniture company in Central Vietnam	"The demand for forest products is growing and plantation forests are supplying an increasing proportion of wood to industry. There are also increasing market requirements to demonstrate the sustainability of timber supply. Vietnam has some 3.9 M ha of plantation forests, 44% of which is on short-rotations managed by smallholders. More than 80 percent of the harvested volume from the plantation forests is used for woodchip production to serve domestic and international markets. The Vietnam Government has goals to increase the domestic supply of suitable wood for furniture production to international markets by increasing the supply of larger logs grown in plantations and the supply of certified wood to industry. However, it is not clear that these objectives will necessarily benefit growers and processors. This study compared financial returns from certified and non-certified forest products for: (1) growers with 10-year rotation acacia plantations; and (2) a furniture processing business (battens for chair and table) in Quang Tri Province, Central Vietnam. The data were collected from smallholder tree growers and a sawmilling company, triangulated with and supplemented by formal and informal interviews with other stakeholders. Currently, much of the cost of certification is met by external aid donors. Results showed that net returns from both certified and non-certified timber products are positive for both actors and are higher from certified timber production than non-certified timber production. When the full costs of certification are included, the benefits to growers of certification are much reduced and potentially negative unless the fixed costs can be spread over a large group of growers. A minimum of group with 3000 ha may be required to make certification cost effective. In recent years, the price difference between the certified and non-certified logs is narrowing and this may discourage farmers from attaining certification. For the sawmiller, the benefit of certified timber production is greater. It would be in their interests to increase prices paid to growers for certified logs. Government policy measures to support certification should include consideration of who bears the cost, support for aggregation of smallholder growers and improved communication in timber supply chains. √•¬© 2017 Elsevier Ltd"	Land Use Policy 69  56-63 DOI:10.1016/j.landusepol.2017.09.011	Vietnam	"21.02, 105.85"	Forest sector	Timber	Forest Stewardship Council (FSC)	Co-operatives	Smallholders; Sawmills	Producer; Processor	Mixed methods	"Formal/informal interviews with farmers, stakeholders, co-op data"	Matched	No Data Reported	No Data Reported	Data Reported	No Data Reported											Data Reported	Data Reported	Data Reported											
8759	"Marie-Vivien, D.; Garcia, C. A.; Kushalappa, C. G.; Vaast, P."	2014	"Trademarks, geographical indications and environmental labelling to promote biodiversity: The case of agroforestry coffee in India"	"The district of Kodagu, also called Coorg, in the Western Ghats of India produces 2% of the world's coffee, the expansion and intensification of which have reduced the forest cover by more than 30% in 20 years. Innovative actions are therefore urgently required to link economic development and biodiversity conservation, and stakeholders are exploring three strategies to add value to coffee from Coorg and prevent further biodiversity erosion: registration of trademarks; geographical indications; and environmental certification, via eco-labels. This article analyses their respective strengths and weaknesses and discusses the synergies between them √•¬© The Authors 2014."	Development Policy Review 32  379-398 DOI:10.1111/dpr.12060	India	"12.3375, 75.8069"	Coffee	Coffee	UTZ;Fair Trade; Rainforest Alliance;Organic	Companies; Plantations; Farmers	Companies; Plantations;Farmers	Producer; Processor	Interviews (freeform)	N/A	Pre-post	No Data Reported	Data Reported	Data Reported	No Data Reported									Data Reported		Data Reported					Data Reported	Data Reported							
9060	"Marinari, S.; Mancinelli, R.; Campiglia, E.; Grego, S."	2006	Chemical and biological indicators of soil quality in organic and conventional farming systems in Central Italy	"In the past decade, there has been increased scientific interest in the so-called organic farming, especially in comparison with conventional agriculture. Many recent studies compare these two fundamentally different systems for soil properties, in different regions of the world. In this study, two adjacent fields in Central Italy, one managed according to organic, and the other according to conventional farming methods, were studied to determine the effects of these two agricultural systems on soil quality indicators at the farm level. Chemical and microbiological properties were chosen as indicators of soil quality and were measured at soil depth intervals of 5-20 and 20-35 cm, after 7 years of organic certified and conventional management methods. The field under organic management showed significantly better soil nutritional and microbiological conditions; with increased level of total nitrogen, nitrate and available phosphorus, and an increased microbial biomass content, and enzymatic activities (acid phosphatase, protease and dehydrogenase). No consistent increase in total organic carbon was observed. Results of the study suggest that, over the period of 7 year, organic management method strongly affects soil quality indicators. Large differences between the two soils were found in terms of microbiological properties, which are sensitive soil indicators of changes occurred under the different farming systems. √•¬© 2005 Elsevier Ltd. All rights reserved."	Ecological Indicators 6  701-711 DOI:10.1016/j.ecolind.2005.08.029	Italy	"42.29, 12.16"	Agriculture	Wheat; Sunflower	Organic	Farms	Farms	Producer	Field experiments	N/A	Matched	No Data Reported	No Data Reported	No Data Reported	Data Reported																					Data Reported			
8372	"Markopoulos, M."	1998	"The impacts of certification on community forest enterprises: a case study of the Lomerio Community Forest Management Project, Bolivia"	"An analysis is made of the economic, social and environmental impacts of forest certification of the Lomerio Community Forest Management Project in eastern Bolivia. Owned and managed by the Chiquitano Indians, the Lomerio project secured forest management certification from the Rainforest Alliance's Smart Wood programme in February 1996. In doing so it became the first forest enterprise to be certified in Bolivia. The process of certification is described. The analysis of the impacts of certification at Lomerio is divided into 5 parts covering: forest management practices; enterprise administration, finances and marketing; institutions and social relations; distribution of costs and benefits; and national forest policy and legislation. Under each of these, an attempt is made to assess both the direct and indirect impacts of certification. In the case of national policy and legislation, the analysis concentrates on the project's legal standing following certification, as well as more general developments in Bolivian forest policy and legislation related to forest certification. The study used a combination of approaches, including field investigation, in-depth interviews, and literature review."	IIED Forestry and Land Use Series   xii-pp 	Bolivia 	"-16.499, -68.1462"	Forest sector	Forest resources	Forest Stewardship Council (FSC); Rainforest Alliance	Smallholders	Smallholders	Producer	N/A	N/A	Pre-post	No Data Reported	Data Reported	Data Reported	Data Reported							Data Reported					Data Reported		Data Reported		Data Reported	Data Reported	Data Reported	Data Reported	Data Reported				
10619	"Mendoza, R.; Bastiaensen, J."	2003	Fair trade and the coffee crisis in the Nicaraguan Segovias	"Small coffee producers in Nicaragua have faced a crisis as the coffee export price has halved since the 1990s. This article examines the role of fair trade in stabilizing prices for small coffee producers, and compares the prices all along the supply chain of the instant coffees (Nestle and Cafedirect). Although Cafedirect's price guarantee has prevented producers from going bankrupt, it is clear that the processing and retail side has become more expensive since the 1990s, partly as a result of the small volumes traded. Cafedirect's high prices compared with commercial brands are likely to ensure that it remains small, and therefore only benefits a minority of producers. The authors examine the options for Nicaragua's small coffee producers and recommend that the producers upgrade their production and postharvest technologies to produce high-quality specialty coffees which can command high prices even without a fair trade tag. They also recommend that the cooperatives be strengthened to be less inefficient and more accountable to their membership."	Small Enterprise Development 14  36-46 	Nicaragua	"13.789400, -86.012200"	Coffee	Coffee	Fair Trade; Rainforest Alliance	Co-operatives; Smallholders	Regional	Producer	Mixed methods	"Company data and informants from NGOs, companies, supermarket and 2 processing plants."	Matched	No Data Reported	No Data Reported	Data Reported	No Data Reported											Data Reported	Data Reported		Data Reported										
11096	"Mendoza, Teodoro C."	2004	Evaluating the Benefits of Organic Farming in Rice Agroecosystems in the Philippines		Journal of Sustainable Agriculture 24 2 93-115 DOI:10.1300/J064v24n02_09	The Philippines	"13.116200, 121.079400"	Rice	Rice	Organic	Co-operatives	Co-operatives	Producer	Mixed methods	"Focus group discussion, individual farmer interviews"	Matched	No Data Reported	No Data Reported	Data Reported	Data Reported												Data Reported	Data Reported								Data Reported		Data Reported	
1009	"Milford, Anna"	2004	"Coffee, co-operatives and competition: the impact of fair trade"		CMI Reports    	Mexico	"16.756900, -93.129200"	Coffee	Coffee	Fair Trade; Rainforest Alliance	Co-operatives; independant Farms	Cooperative; Farms	Producer	Interviews (freeform)	Based on set questionnaire	Matched	No Data Reported	No Data Reported	Data Reported	No Data Reported											Data Reported			Data Reported			Data Reported							
6614	"Miteva, D. A., Loucks, C. J., Pattanayak, S. K."	2015	Social and Environmental Impacts of Forest Management Certification in Indonesia	"In response to unsustainable timber production in tropical forest concessions, voluntary forest management certification programs such as the Forest Stewardship Council (FSC) have been introduced to improve environmental, social, and economic performance over existing management practices. However, despite the proliferation of forest certification over the past two decades, few studies have evaluated its effectiveness. Using temporally and spatially explicit village-level data on environmental and socio-economic indicators in Kalimantan (Indonesia), we evaluate the performance of the FSC-certified timber concessions compared to non-certified logging concessions. Employing triple difference matching estimators, we find that between 2000 and 2008 FSC reduced aggregate deforestation by 5 percentage points and the incidence of air pollution by 31%. It had no statistically significant impacts on fire incidence or core areas, but increased forest perforation by 4 km2 on average. In addition, we find that FSC reduced firewood dependence (by 33%), respiratory infections (by 32%) and malnutrition (by 1 person) on average. By conducting a rigorous statistical evaluation of FSC certification in a biodiversity hotspot such as Indonesia, we provide a reference point and offer methodological and data lessons that could aid the design of ongoing and future evaluations of a potentially critical conservation policy"	"PLoSONE, 10: e0129675-e0129675. hDOI: 10.1371/journal.pone.0129675"	Indonesia	"-6.5951923,106.7568726"	Forest sector	Timber	Forest Stewardship Council (FSC)	Forest concessions	Individual Forest concessions	Producer		Mixed methods	"Goverment Data, Spatial imaging "	No Data Reported	No Data Reported	Data Reported	No Data Reported														Data Reported	Data Reported		Data Reported							
9630	"Mohan, S."	2016	Institutional Change in Value Chains: Evidence from Tea in Nepal	"Local conditions in developing countries have long played a part in determining whether their small-scale firms can benefit from deepening their participation in global value chains (GVCs). Institutional theory allows us to characterize these local conditions not simply as particularistic oddities but rather as elements of an institutional matrix that affects the livelihoods of chain participants. However, the institutional dimension of GVC analysis has been traditionally neglected in the literature, to the detriment of our understanding of the impacts of upgrading in GVCs. This study aims to remedy this failure by illustrating how institutional context mediates between value chain upgrading and the livelihoods of chain participants. It particular, it seeks to elucidate how value chain upgrading spurs a process of change in the institutions that govern the livelihoods of suppliers in developing countries. This examination sheds light on the more general question of how value chain upgrading sometimes helps, but sometimes hurts, the welfare of chain participants. This theoretical contribution to the value chain literature is based upon an institutional analysis of primary qualitative data from more than 80 small-scale tea farmers in Nepal, some of whom had upgraded from conventional to organically certified production. Our study finds that value chain upgrading launches a process of institutional change that can be summarized in a general typology. The typology highlights how rules, strategies, organizations, and informal norms affect whether a given upgrading intervention yields livelihood benefits in a particular place. Upgrading can yield positive impacts in chain-linked livelihood dimensions, such as price, and yet induce negative changes in other livelihood dimensions, such as risk, and thereby yield overall adverse livelihood implications, in a process we dub √å√ïimmiserizing upgrading√å√í. These findings contribute to advancing the conceptual literature on global value chains (GVCs) by suggesting a general typology for cycles of institutional change that influence livelihood outcomes. The typology provides a framework to analyze such processes that is also of use to development practitioners seeking to understand the conditions under which upgrading worsens or improves the welfare of value chain participants. The research findings provide an interesting window into how certification schemes interact with the daily lives of the rural poor. √•¬© 2015 Elsevier Ltd"	World Development 78  52-65 DOI:10.1016/j.worlddev.2015.10.004	Nepal	"27.7172, 85.3240"	Tea	Tea	Organic	Co-operatives	Farmers; Labourers	Producer	Interviews (freeform)	Semi-structured	Pre-post	Data Reported	Data Reported	Data Reported	Data Reported								Data Reported			Data Reported	Data Reported	Data Reported	Data Reported	Data Reported		Data Reported				Data Reported			
9630	"Mohan, S."	2016	Institutional Change in Value Chains: Evidence from Tea in Nepal	"Local conditions in developing countries have long played a part in determining whether their small-scale firms can benefit from deepening their participation in global value chains (GVCs). Institutional theory allows us to characterize these local conditions not simply as particularistic oddities but rather as elements of an institutional matrix that affects the livelihoods of chain participants. However, the institutional dimension of GVC analysis has been traditionally neglected in the literature, to the detriment of our understanding of the impacts of upgrading in GVCs. This study aims to remedy this failure by illustrating how institutional context mediates between value chain upgrading and the livelihoods of chain participants. It particular, it seeks to elucidate how value chain upgrading spurs a process of change in the institutions that govern the livelihoods of suppliers in developing countries. This examination sheds light on the more general question of how value chain upgrading sometimes helps, but sometimes hurts, the welfare of chain participants. This theoretical contribution to the value chain literature is based upon an institutional analysis of primary qualitative data from more than 80 small-scale tea farmers in Nepal, some of whom had upgraded from conventional to organically certified production. Our study finds that value chain upgrading launches a process of institutional change that can be summarized in a general typology. The typology highlights how rules, strategies, organizations, and informal norms affect whether a given upgrading intervention yields livelihood benefits in a particular place. Upgrading can yield positive impacts in chain-linked livelihood dimensions, such as price, and yet induce negative changes in other livelihood dimensions, such as risk, and thereby yield overall adverse livelihood implications, in a process we dub √å√ïimmiserizing upgrading√å√í. These findings contribute to advancing the conceptual literature on global value chains (GVCs) by suggesting a general typology for cycles of institutional change that influence livelihood outcomes. The typology provides a framework to analyze such processes that is also of use to development practitioners seeking to understand the conditions under which upgrading worsens or improves the welfare of value chain participants. The research findings provide an interesting window into how certification schemes interact with the daily lives of the rural poor. √•¬© 2015 Elsevier Ltd"	World Development 78  52-65 DOI:10.1016/j.worlddev.2015.10.004	Nepal	"27.7172, 85.3240"	Tea	Tea	Chain of Custody standard	Farmers	Farmers; Labourers	Producer	N/A	N/A	Pre-post	Data Reported	Data Reported	Data Reported	No Data Reported								Data Reported			Data Reported			Data Reported		Data Reported								
3926	"Montano, J.; Nawata, E.; Panichsakpatana, S."	2016	"Do GAP farmers do better than non-GAP farmers? Pesticide management practices of horticultural farmers in Damnoen Saduak, Thailand"	"In order to provide better and safer agricultural food products, the Thai government has introduced a public standard of good agricultural practices (GAP) which has been implemented since 2004. Using data obtained from interviews with farmers applying intensive horticultural systems in Damnoen Saduak District (Ratchaburi Province) we determined whether those who followed the GAP program could gain access to foreign markets to sell their produce and whether their practices were better in terms of improving food security and worker safety through adequate synthetic pesticide use compared to non-GAP farmers. The results showed that the GAP program has been beneficial for the farmers, by focusing its efforts on certification which is a necessary requirement for export access. However, pesticide management practices did not differ between GAP and non-GAP farmers. We argue that inadequate implementation of the standard in the region is due to a lack of sufficient governmental resources necessary to train farmers and to control on-farm activities that may lead to a decrease in synthetic pesticide use."	Tropical Agriculture and Development 60  43109 	Thailand	"13.517100, 99.953700"	Horticulture	Vegetables; Tree crops; Fruit		Smallholders	Farms	Producer	Mixed methods	"Interview, Surveys"	Matched	No Data Reported	No Data Reported	Data Reported	Data Reported														Data Reported									Data Reported	
12538	"Moore S.E., Cubbage F.; Eicheldinger C"	2012	Impacts of Forest Stewardship Council (FSC) and Sustainable Forestry Initiative (SFI) forest certification in North America. 	"We conducted e-mail surveys of organizations that had received forest management certification under the Forest Stewardship Council (FSC) in the United States and Sustainable Forestry Initiative (SFI) in the United States and Canada to determine if forest certification has changed forest management practices and if the changes are practically and statistically different between systems. The results indicate that forest certification prompted substantial changes in practices. On average, firms implemented 13-14 changes in forestry, environmental, social, and economic/system practices to obtain or maintain forest certification. Although there was no statistical difference between systems in the total number of changes, there were many differences in the implementation of specific forest practices, with FSC firms required to make more environmental/forest management changes and SFI firms required to make more economic/system changes. Forest managers believed that the benefits of forest certification were greater than the disadvantages. SFI managers rated the benefits of forest certification higher than FSC managers, but also rated the disadvantages higher. Most organizations felt certification accomplished their objectives and were likely to recertify, thus indicating their endorsement of the process. ¬© 2012 by the Society of American Foresters."	"Journal of Forestry, 110, 79-88. DOI: 10.5849/jof.10-050"	USA	"44.9900081,-93.2771688"	Forest sector	Forest resources	Forest Stewardship Council (FSC); Sustainable Forestry Initiative (SFI)	Companies	Companies	Producer; Processors	Household surveys		Pre Post	Data Reported	Data Reported	Data Reported	Data Reported	Data Reported							Data Reported	Data Reported	Data Reported	Data Reported					Data Reported		Data Reported						
12538	"Moore S.E., Cubbage F.; Eicheldinger C"	2012	Impacts of Forest Stewardship Council (FSC) and Sustainable Forestry Initiative (SFI) forest certification in North America. 	"We conducted e-mail surveys of organizations that had received forest management certification under the Forest Stewardship Council (FSC) in the United States and Sustainable Forestry Initiative (SFI) in the United States and Canada to determine if forest certification has changed forest management practices and if the changes are practically and statistically different between systems. The results indicate that forest certification prompted substantial changes in practices. On average, firms implemented 13-14 changes in forestry, environmental, social, and economic/system practices to obtain or maintain forest certification. Although there was no statistical difference between systems in the total number of changes, there were many differences in the implementation of specific forest practices, with FSC firms required to make more environmental/forest management changes and SFI firms required to make more economic/system changes. Forest managers believed that the benefits of forest certification were greater than the disadvantages. SFI managers rated the benefits of forest certification higher than FSC managers, but also rated the disadvantages higher. Most organizations felt certification accomplished their objectives and were likely to recertify, thus indicating their endorsement of the process. ¬© 2012 by the Society of American Foresters."	"Journal of Forestry, 110, 79-88. DOI: 10.5849/jof.10-050"	Canada	"45.3986344,-75.7385583"	Forest sector	Forest resources	Forest Stewardship Council (FSC); Sustainable Forestry Initiative (SFI)	Companies	Companies	Producer; Processors	Household surveys		Pre Post	Data Reported	Data Reported	Data Reported	Data Reported	Data Reported							Data Reported	Data Reported	Data Reported	Data Reported					Data Reported		Data Reported						
7053	"Napitupulu, Togar Alam; Natawidjaja, Ronnie S.; Lantican, Josefina M."	2009	Adding value to fresh and processed produce through product certification	"The current trend in world trade of agro-food, and the change in consumer demand patterns for food and agricultural products, has led to a fast growth of multi-national chains of retail stores in major cities in developing countries and growth in domestic retail store chains. Their presence opens a new market for high quality agro-food. While many products come from overseas, many can also be supplied locally by farmers or farmers' co-operatives or associations provided that they meet the quality and supply standards required by the store. To study and identify specific benefits from this global economic trend that can be tapped by secondary crops farmers, specifically those living in medium altitude areas, two studies were conducted in two member countries of CAPSA-ESCAP, i.e., Indonesia and the Philippines, with assistance provided by the government of France. Product certification requirements by the retailers, and best practices on product certification by the various producers and processors from farms to retailers, were studied, analysed, and collated."	CAPSA Working Paper No. 105    	Indonesia	"-7.090900, 107.668900 "	Agriculture	Mixed crops	National Standardization Institution (SNI; Organic	Smallholders; Co-operatives; Farms	Country-wide	Producer	Mixed methods	"Questionnaire, Household survey, Goverment Data"	Matched	No Data Reported	No Data Reported	Data Reported	No Data Reported											Data Reported		Data Reported	Data Reported										
7053	"Napitupulu, Togar Alam; Natawidjaja, Ronnie S.; Lantican, Josefina M."	2009	Adding value to fresh and processed produce through product certification	"The current trend in world trade of agro-food, and the change in consumer demand patterns for food and agricultural products, has led to a fast growth of multi-national chains of retail stores in major cities in developing countries and growth in domestic retail store chains. Their presence opens a new market for high quality agro-food. While many products come from overseas, many can also be supplied locally by farmers or farmers' co-operatives or associations provided that they meet the quality and supply standards required by the store. To study and identify specific benefits from this global economic trend that can be tapped by secondary crops farmers, specifically those living in medium altitude areas, two studies were conducted in two member countries of CAPSA-ESCAP, i.e., Indonesia and the Philippines, with assistance provided by the government of France. Product certification requirements by the retailers, and best practices on product certification by the various producers and processors from farms to retailers, were studied, analysed, and collated."	CAPSA Working Paper No. 105    	Philippines	"8.496100, 123.303400"	Agriculture	Mixed crops	National Standardization Institution (SNI; Organic	Smallholders; Co-operatives; Farms	Country-wide	Producer	Mixed methods	"Questionnaire, Household survey, Goverment Data"	Matched	No Data Reported	No Data Reported	Data Reported	No Data Reported											Data Reported		Data Reported	Data Reported										
6168	"Nasi, R.; Billand, A.; van Vliet, N."	2012	Managing for timber and biodiversity in the Congo Basin	"Multiple-use forest management is considered by many as a preferable alternative to single-use, generally timber-dominant, management models. In the Congo Basin rainforests, integration of timber and non-timber forest resources plays a key role in the subsistence and market economies of rural communities. This is however mainly occurring in "" ordinary"" forest lands and not in formally gazetted forest lands. In this paper we briefly explore the major land-uses in the Congo Basin and their actual or potential for multiple-use. We then focus on the most extant production system (industrial logging concessions) and analyze the existing issues and options for managing actively both timber and biodiversity with a special emphasis on wildlife and the role of certification. A few promising but yet 'unfinished' examples do exist in the region and we review these cases to draw lessons and recommendations. We contend however that true multiple-use could only be realized by expanding beyond boundaries of formal management units through new innovative land-use units, allowing a spatial cohabitation of the interests of local people, of conservation proponents and of extractive industries in the same management unit. √•¬© 2012 ."	Forest Ecology and Management 268  103-111 DOI:10.1016/j.foreco.2011.04.005	Cameroon	"3.8480, 11.5021"	Forest sector	Timber; Biodiversity	Forest Stewardship Council (FSC)	Industrial logging concessions	Companies	Producer	N/A	N/A	Matched	No Data Reported	Data Reported	Data Reported	Data Reported									Data Reported							Data Reported			Data Reported					
6168	"Nasi, R.; Billand, A.; van Vliet, N."	2012	Managing for timber and biodiversity in the Congo Basin	"Multiple-use forest management is considered by many as a preferable alternative to single-use, generally timber-dominant, management models. In the Congo Basin rainforests, integration of timber and non-timber forest resources plays a key role in the subsistence and market economies of rural communities. This is however mainly occurring in "" ordinary"" forest lands and not in formally gazetted forest lands. In this paper we briefly explore the major land-uses in the Congo Basin and their actual or potential for multiple-use. We then focus on the most extant production system (industrial logging concessions) and analyze the existing issues and options for managing actively both timber and biodiversity with a special emphasis on wildlife and the role of certification. A few promising but yet 'unfinished' examples do exist in the region and we review these cases to draw lessons and recommendations. We contend however that true multiple-use could only be realized by expanding beyond boundaries of formal management units through new innovative land-use units, allowing a spatial cohabitation of the interests of local people, of conservation proponents and of extractive industries in the same management unit. √•¬© 2012 ."	Forest Ecology and Management 268  103-111 DOI:10.1016/j.foreco.2011.04.005	Gabon	" 0.4162, 9.4673"	Forest sector	Timber; Biodiversity	Forest Stewardship Council (FSC); Keurhout; ISO 14001	Industrial logging concessions	Companies	Producer	N/A	N/A	Matched	No Data Reported	Data Reported	Data Reported	Data Reported									Data Reported							Data Reported			Data Reported					
6168	"Nasi, R.; Billand, A.; van Vliet, N."	2012	Managing for timber and biodiversity in the Congo Basin	"Multiple-use forest management is considered by many as a preferable alternative to single-use, generally timber-dominant, management models. In the Congo Basin rainforests, integration of timber and non-timber forest resources plays a key role in the subsistence and market economies of rural communities. This is however mainly occurring in "" ordinary"" forest lands and not in formally gazetted forest lands. In this paper we briefly explore the major land-uses in the Congo Basin and their actual or potential for multiple-use. We then focus on the most extant production system (industrial logging concessions) and analyze the existing issues and options for managing actively both timber and biodiversity with a special emphasis on wildlife and the role of certification. A few promising but yet 'unfinished' examples do exist in the region and we review these cases to draw lessons and recommendations. We contend however that true multiple-use could only be realized by expanding beyond boundaries of formal management units through new innovative land-use units, allowing a spatial cohabitation of the interests of local people, of conservation proponents and of extractive industries in the same management unit. √•¬© 2012 ."	Forest Ecology and Management 268  103-111 DOI:10.1016/j.foreco.2011.04.005	Congo-Brazzaville	" -4.2470207,15.1571827"	Forest sector	Timber; Biodiversity	Forest Stewardship Council (FSC)	Industrial logging concessions	Companies	Producer	N/A	N/A	Matched	No Data Reported	Data Reported	Data Reported	Data Reported									Data Reported							Data Reported			Data Reported					
11013	"Nguyen, Thi Minh Chi; Chien, LiHsien; Chen, ShwuEn"	2015	Impact of certification system on smallhold coffee farms' income distribution in Vietnam	"This study attempts to investigate the impact of the working certification programs on the income of the coffee farms operated by the local smallholders at Dakha District, Kontum, Vietnam. Followed by the comparisons of the socio-demographic and economic characteristics between certified and non-certified farmers, the study adopts the Binary Probit model and linear regression model were applied to analyze the decision on farmers' attitude for participation on the available certification programs and their impacts. Propensity score matching (PSM) was applied to examine the average treatment effect of certification program on net coffee income per hectare to reduce the selection bias. Statistical results show that net coffee income per hectare is positively influenced by certification participation. Furthermore, education status the household head, number of members involved in coffee cultivation, distance from household to town center, and training availability effect significantly on net coffee income. Moreover, four matching algorithms of PSM highlighted that members of the certified cooperative achieve higher net coffee income per hectare compared to non-certified ones. Finally, how to introduce an organizational framework to assist local smallhold farmers and local coffee cooperatives become more effective and influential in domestic coffee value chain are suggested."	Asian Journal of Agriculture and Rural Development 5  137-149 	Vietnam	"14.6412, 108.0006"	Coffee	Coffee	Organic; Common Code; 4C; Fair Trade; Rainforest Alliance; Rainforest Alliance; UTZ 	Co-operatives	Smallholders	Producer	Household surveys	N/A	Matched	Data Reported	Data Reported	Data Reported	No Data Reported						Data Reported			Data Reported		Data Reported	Data Reported	Data Reported											
10765	"Omoto, R. "	2016	"Multifunctionality and agrarian transition in alternative agro-food production in the global South: The case of organic shrimp certification in the Mekong Delta, Vietnam"	"Processes of globalisation in the conventional food provision system have had widespread negative impacts on small-scale farmers. Yet, alternative food networks, which are characterised by more sustainable production/consumption practices and fairer trade relations, have increasingly been 'going global' and, in the process, have been integrating small-scale farms in the South. One such high-value export-led commodity is certified organic shrimp. International third-party certification schemes are becoming popular as a tool to verify the intangible attributes of such commodities. Using concepts of multifunctionality and agrarian change, this paper examines the implications of introducing an international environmental certification programme to a site where the 'peasantry' has been preserved and has limited integration in the global agro-food system. Drawing on a case study that examines the first certified organic shrimp production project in Vietnam, this paper concludes that the current movement towards post-productivism in the global North has potential to keep local farming practices in the global South by justifying the value of peasant-like production methods through international certification. As a result, the development path of agrarian transition might be reshaped into a form not necessarily pursuing industrialisation. This leads to the new interpretation of pre- and post-productivism beyond the North and South divide. © 2016 Victoria University of Wellington and John Wiley & Sons Australia, Ltd."	"Asia Pacific Viewpoint, 57 (1): 121-137, DOI: 10.1111/apv.12113"	Vietnam	"14.0583, 108.2772"	Fishing	Shrimp	Naturland Organic Standard	Farms	Farmers	Producers	Mixed methods	Household surveys and interviews	Matched	Data Reported	Data Reported	Data Reported	Data Reported						Data Reported				Data Reported				Data Reported		Data Reported			Data Reported					
5333	"Oosterveer, P.; Adjei, B. E.; Vellema, S.; Slingerland, M."	2014	Global sustainability standards and food security: Exploring unintended effects of voluntary certification in palm oil	"Voluntary labelling and certification schemes have become increasingly used in global agro-food chains. They primarily aim at enhancing the sustainability of agricultural production processes. The global palm oil supply, the different environmental and social problems related to it, and the Roundtable for Sustainable Palm Oil (RSPO) certification clearly illustrate this. However, global sustainability standards may also have unintended impacts on food security and local development, which are not explicitly taken into account. This article explores the unnoticed effects of voluntary palm oil certification in Indonesia and Ghana and identifies their implications on local and national food provision. As voluntary labels and certification schemes are an emerging category of global governance instruments, their role in food security, as a global public good, should be taken seriously and connected to political and scientific debates on their future involvement in realizing food security. √•¬© 2014 Elsevier B.V."	Global Food Security 3  220-226 DOI:10.1016/j.gfs.2014.09.006	Ghana	"7.946500, -1.023200 "	Palm Oil	Palm oil	Roundtable on Sustainable Palm Oil (RSPO); Marine Stewardship Council (MSC); GLOBALG.A.P	Smallholders	Small holders;Farmers	Producer	N/A	N/A	Matched	Data Reported	Data Reported	No Data Reported	Data Reported				Data Reported	Data Reported													Data Reported	Data Reported					
