ID	Reference Type	Year	Author	Title	Journal Title	ISBN/ISSN	DOI	URL	Abstract	Volume	Issue	Pages	Keywords	Country	LatDD	LonDD	Rural/Urban/Peri-Urban	Sample Size (n)	Is the Study about Cooking Sector?	Program Focus	Start Date of Intervention/Program	Study Start Date	Study Duration (Years)	Years Since Intervention (Sustainability Measure)	Synthesis Paper	Missing Data	"If Yes, Is There Accountability?"	Is Secondary Data Used?	Independently Measured Outcomes	Measured Outcomes - Social	Measured Outcomes - Economic	Measured Outcomes - Environmental	Drivers/Barriers Data Present?	Characteristics of Setting - Drivers	Characteristics of Setting - Barriers	"Knowledge and Perception, Information - Drivers"	"Knowledge and Perception, Information - Barriers"	Technology Characteristics - Drivers	Technology Characteristics - Barriers	"Financial, Tax and Subsidy Aspects - Drivers"	"Financial, Tax and Subsidy Aspects - Barriers"	"Regulation, Legislation and Standards - Drivers"	"Regulation, Legislation and Standards - Barriers"	Market Development - Drivers	Market Development - Barriers	Programmatic and Policy Mechanisms - Drivers	Programmatic and Policy Mechanisms - Barriers	Other - Drivers	Other - Barriers	Poverty - Drivers	Poverty - Barriers	Gender - Drivers	Gender - Barriers
S183	Journal Article	2013	"Pachauri, S.; van Ruijven, B.J.; Nagai, Y.; Riahi, K.; van Vuuren, D.P.; Brew-Hammond, A.; Nakicenovic, N."	Pathways to achieve universal household access to modern energy by 2030	Environmental Research Letters		doi:10.1088/1748-9326/8/2/024015		"A lack of access to modern energy impacts health and welfare and impedes development for billions of people. Growing concern about these impacts has mobilized the international community to set new targets for universal modern energy access. However, analyses exploring pathways to achieve these targets and quantifying the potential costs and benefits are limited. Here, we use two modelling frameworks to analyse investments and consequences of achieving total rural electrification and universal access to clean-combusting cooking fuels and stoves by 2030. Our analysis indicates that these targets can be achieved with additional investment of US$200565_86 billion per year until 2030 combined with dedicated policies. Only a combination of policies that lowers costs for modern cooking fuels and stoves, along with more rapid electrification, can enable the realization of these goals. Our results demonstrate the critical importance of accounting for varying demands and affordability across heterogeneous household groups in both analysis and policy setting. While the investments required are significant, improved access to modern cooking fuels alone can avert between 0.6 and 1.8 million premature deaths annually in 2030 and enhance wellbeing substantially"	8	0	7 pp	"modern energy access, energy poverty, cooking fuel and stove choices, electrification, developing countries"		-22.5636732	17.0272066	Rural	0	N	Energy - Electrification					N	NR	NA	Y	NR 				Drivers							Scenarios that combine fuel price support with grants or low-cost financing for stove purchases are the most effective in achieving universal access to modern cooking fuels and stoves by 2030						Scenarios that combine fuel price support with grants or low-cost financing for stove purchases are the most effective in achieving universal access to modern cooking fuels and stoves by 2030							
S183	Journal Article	2013	"Pachauri, S.; van Ruijven, B.J.; Nagai, Y.; Riahi, K.; van Vuuren, D.P.; Brew-Hammond, A.; Nakicenovic, N."	Pathways to achieve universal household access to modern energy by 2030	Environmental Research Letters		doi:10.1088/1748-9326/8/2/024015		"A lack of access to modern energy impacts health and welfare and impedes development for billions of people. Growing concern about these impacts has mobilized the international community to set new targets for universal modern energy access. However, analyses exploring pathways to achieve these targets and quantifying the potential costs and benefits are limited. Here, we use two modelling frameworks to analyse investments and consequences of achieving total rural electrification and universal access to clean-combusting cooking fuels and stoves by 2030. Our analysis indicates that these targets can be achieved with additional investment of US$200565_86 billion per year until 2030 combined with dedicated policies. Only a combination of policies that lowers costs for modern cooking fuels and stoves, along with more rapid electrification, can enable the realization of these goals. Our results demonstrate the critical importance of accounting for varying demands and affordability across heterogeneous household groups in both analysis and policy setting. While the investments required are significant, improved access to modern cooking fuels alone can avert between 0.6 and 1.8 million premature deaths annually in 2030 and enhance wellbeing substantially"	8	0	7 pp	"modern energy access, energy poverty, cooking fuel and stove choices, electrification, developing countries"		-24.6091349	25.8604649	Rural	0	N	Energy - Electrification					N	NR	NA	Y	NR 				Drivers							Scenarios that combine fuel price support with grants or low-cost financing for stove purchases are the most effective in achieving universal access to modern cooking fuels and stoves by 2030						Scenarios that combine fuel price support with grants or low-cost financing for stove purchases are the most effective in achieving universal access to modern cooking fuels and stoves by 2030							
S183	Journal Article	2013	"Pachauri, S.; van Ruijven, B.J.; Nagai, Y.; Riahi, K.; van Vuuren, D.P.; Brew-Hammond, A.; Nakicenovic, N."	Pathways to achieve universal household access to modern energy by 2030	Environmental Research Letters		doi:10.1088/1748-9326/8/2/024015		"A lack of access to modern energy impacts health and welfare and impedes development for billions of people. Growing concern about these impacts has mobilized the international community to set new targets for universal modern energy access. However, analyses exploring pathways to achieve these targets and quantifying the potential costs and benefits are limited. Here, we use two modelling frameworks to analyse investments and consequences of achieving total rural electrification and universal access to clean-combusting cooking fuels and stoves by 2030. Our analysis indicates that these targets can be achieved with additional investment of US$200565_86 billion per year until 2030 combined with dedicated policies. Only a combination of policies that lowers costs for modern cooking fuels and stoves, along with more rapid electrification, can enable the realization of these goals. Our results demonstrate the critical importance of accounting for varying demands and affordability across heterogeneous household groups in both analysis and policy setting. While the investments required are significant, improved access to modern cooking fuels alone can avert between 0.6 and 1.8 million premature deaths annually in 2030 and enhance wellbeing substantially"	8	0	7 pp	"modern energy access, energy poverty, cooking fuel and stove choices, electrification, developing countries"		-25.7582737	28.057868	Rural	0	N	Energy - Electrification					N	NR	NA	Y	NR 				Drivers							Scenarios that combine fuel price support with grants or low-cost financing for stove purchases are the most effective in achieving universal access to modern cooking fuels and stoves by 2030						Scenarios that combine fuel price support with grants or low-cost financing for stove purchases are the most effective in achieving universal access to modern cooking fuels and stoves by 2030							
S183	Journal Article	2013	"Pachauri, S.; van Ruijven, B.J.; Nagai, Y.; Riahi, K.; van Vuuren, D.P.; Brew-Hammond, A.; Nakicenovic, N."	Pathways to achieve universal household access to modern energy by 2030	Environmental Research Letters		doi:10.1088/1748-9326/8/2/024015		"A lack of access to modern energy impacts health and welfare and impedes development for billions of people. Growing concern about these impacts has mobilized the international community to set new targets for universal modern energy access. However, analyses exploring pathways to achieve these targets and quantifying the potential costs and benefits are limited. Here, we use two modelling frameworks to analyse investments and consequences of achieving total rural electrification and universal access to clean-combusting cooking fuels and stoves by 2030. Our analysis indicates that these targets can be achieved with additional investment of US$200565_86 billion per year until 2030 combined with dedicated policies. Only a combination of policies that lowers costs for modern cooking fuels and stoves, along with more rapid electrification, can enable the realization of these goals. Our results demonstrate the critical importance of accounting for varying demands and affordability across heterogeneous household groups in both analysis and policy setting. While the investments required are significant, improved access to modern cooking fuels alone can avert between 0.6 and 1.8 million premature deaths annually in 2030 and enhance wellbeing substantially"	8	0	7 pp	"modern energy access, energy poverty, cooking fuel and stove choices, electrification, developing countries"		-26.3153214	31.1196755	Rural	0	N	Energy - Electrification					N	NR	NA	Y	NR 				Drivers							Scenarios that combine fuel price support with grants or low-cost financing for stove purchases are the most effective in achieving universal access to modern cooking fuels and stoves by 2030						Scenarios that combine fuel price support with grants or low-cost financing for stove purchases are the most effective in achieving universal access to modern cooking fuels and stoves by 2030							
S183	Journal Article	2013	"Pachauri, S.; van Ruijven, B.J.; Nagai, Y.; Riahi, K.; van Vuuren, D.P.; Brew-Hammond, A.; Nakicenovic, N."	Pathways to achieve universal household access to modern energy by 2030	Environmental Research Letters		doi:10.1088/1748-9326/8/2/024015		"A lack of access to modern energy impacts health and welfare and impedes development for billions of people. Growing concern about these impacts has mobilized the international community to set new targets for universal modern energy access. However, analyses exploring pathways to achieve these targets and quantifying the potential costs and benefits are limited. Here, we use two modelling frameworks to analyse investments and consequences of achieving total rural electrification and universal access to clean-combusting cooking fuels and stoves by 2030. Our analysis indicates that these targets can be achieved with additional investment of US$200565_86 billion per year until 2030 combined with dedicated policies. Only a combination of policies that lowers costs for modern cooking fuels and stoves, along with more rapid electrification, can enable the realization of these goals. Our results demonstrate the critical importance of accounting for varying demands and affordability across heterogeneous household groups in both analysis and policy setting. While the investments required are significant, improved access to modern cooking fuels alone can avert between 0.6 and 1.8 million premature deaths annually in 2030 and enhance wellbeing substantially"	8	0	7 pp	"modern energy access, energy poverty, cooking fuel and stove choices, electrification, developing countries"		-29.3367367	27.4820519	Rural	0	N	Energy - Electrification					N	NR	NA	Y	NR 				Drivers							Scenarios that combine fuel price support with grants or low-cost financing for stove purchases are the most effective in achieving universal access to modern cooking fuels and stoves by 2030						Scenarios that combine fuel price support with grants or low-cost financing for stove purchases are the most effective in achieving universal access to modern cooking fuels and stoves by 2030							
S184a	Journal Article	2020	"Yu, K.; Lv, J.; Qiu, G.; Yu, C.; Guo, Y.; Bian, Z.; Yang, L.; Chen, Y.; Wang, C.; Pan, A.; Liang, L.; Hu, F.B.; Chen, Z.; Li, L.; Wu, T."	Cooking fuels and risk of all-cause and cardiopulmonary mortality in urban China: a prospective cohort study	Lancet Global Health		https://doi.org/10.1016/S2214-109X(19)30525-X		"Background- Cooking practice has transitioned from use of solid fuels to use of clean fuels, with addition of better ventilation facilities. However, the change in mortality risk associated with such a transition remains unclear. Methods- The China Kadoorie Biobank (CKB) Study enrolled participants (aged 30_79 years) from ten areas across China; we chose to study participants from five urban areas where transition from use of solid fuels to clean fuels for cooking was prevalent. Participants who reported regular cooking (weekly or more frequently) at baseline were categorised as persistent clean fuel users, previous solid fuel users, or persistent solid fuel users, according to selfreported fuel use histories. All-cause and cardiopulmonary mortality were identified through linkage to China¬ês Disease Surveillance Point system and local mortality records. Findings-  Between June 24, 2004, and July 15, 2008, 226186 participants living in five urban areas of China were enrolled in the CKB Study. Among 171677 participants who reported cooking regularly (weekly or more frequently), 75785 (44%) were persistent clean fuel users, 80511 (47%) were previous solid fuel users, and 15381 (9%) were persistent solid fuel users. During a mean of 9√∂8 (SD 1√∂7) years of follow-up, 10831 deaths were documented, including 3819 cardiovascular deaths and 761 respiratory deaths. Compared with persistent clean fuel users, persistent solid fuel users had significantly higher risks of all-cause mortality (hazard ratio [HR] 1√∂19, 95% CI 1√∂10_1√∂28), cardiovascular mortality (1√∂24, 1√∂10_1√∂39), and respiratory mortality (1√∂43, 1√∂10_1√∂85). The excess risk of all-cause and cardiopulmonary mortality fell by more than 60% in 5 years after cessation of solid fuel use and continued to decrease afterwards. Use of ventilation was associated with lower all-cause mortality risk, even among persistent clean fuel users (HR 0√∂78, 0√∂69_0√∂89). Interpretation-  Solid fuel use for cooking is associated with a higher risk of mortality, and cessation of solid fuel use cuts excess mortality risks swiftly and substantially within 5 years. Ventilation use also lowers the risk of mortality, even among people who persistently use clean fuels. It is of prime importance for both policy makers and the public to accelerate the transition from solid fuels to clean fuels and promote efficient ventilation to minimise further adverse health effects."		Jan19th	10 pp		China	45.7573839	122.1695922	Urban	226186	Y	Other		2004	9.8		N				Social 	Human Health and Wellbeing [Improved]			Neither																				
S184a	Journal Article	2020	"Yu, K.; Lv, J.; Qiu, G.; Yu, C.; Guo, Y.; Bian, Z.; Yang, L.; Chen, Y.; Wang, C.; Pan, A.; Liang, L.; Hu, F.B.; Chen, Z.; Li, L.; Wu, T."	Cooking fuels and risk of all-cause and cardiopulmonary mortality in urban China: a prospective cohort study	Lancet Global Health		https://doi.org/10.1016/S2214-109X(19)30525-X		"Background- Cooking practice has transitioned from use of solid fuels to use of clean fuels, with addition of better ventilation facilities. However, the change in mortality risk associated with such a transition remains unclear. Methods- The China Kadoorie Biobank (CKB) Study enrolled participants (aged 30_79 years) from ten areas across China; we chose to study participants from five urban areas where transition from use of solid fuels to clean fuels for cooking was prevalent. Participants who reported regular cooking (weekly or more frequently) at baseline were categorised as persistent clean fuel users, previous solid fuel users, or persistent solid fuel users, according to selfreported fuel use histories. All-cause and cardiopulmonary mortality were identified through linkage to China¬ês Disease Surveillance Point system and local mortality records. Findings-  Between June 24, 2004, and July 15, 2008, 226186 participants living in five urban areas of China were enrolled in the CKB Study. Among 171677 participants who reported cooking regularly (weekly or more frequently), 75785 (44%) were persistent clean fuel users, 80511 (47%) were previous solid fuel users, and 15381 (9%) were persistent solid fuel users. During a mean of 9√∂8 (SD 1√∂7) years of follow-up, 10831 deaths were documented, including 3819 cardiovascular deaths and 761 respiratory deaths. Compared with persistent clean fuel users, persistent solid fuel users had significantly higher risks of all-cause mortality (hazard ratio [HR] 1√∂19, 95% CI 1√∂10_1√∂28), cardiovascular mortality (1√∂24, 1√∂10_1√∂39), and respiratory mortality (1√∂43, 1√∂10_1√∂85). The excess risk of all-cause and cardiopulmonary mortality fell by more than 60% in 5 years after cessation of solid fuel use and continued to decrease afterwards. Use of ventilation was associated with lower all-cause mortality risk, even among persistent clean fuel users (HR 0√∂78, 0√∂69_0√∂89). Interpretation-  Solid fuel use for cooking is associated with a higher risk of mortality, and cessation of solid fuel use cuts excess mortality risks swiftly and substantially within 5 years. Ventilation use also lowers the risk of mortality, even among people who persistently use clean fuels. It is of prime importance for both policy makers and the public to accelerate the transition from solid fuels to clean fuels and promote efficient ventilation to minimise further adverse health effects."		Jan19th	10 pp		China	36.1362989	120.0846535	Urban	226186	Y	Other		2004	9.8		N				Social 	Human Health and Wellbeing [Improved]			Neither																				
S184a	Journal Article	2020	"Yu, K.; Lv, J.; Qiu, G.; Yu, C.; Guo, Y.; Bian, Z.; Yang, L.; Chen, Y.; Wang, C.; Pan, A.; Liang, L.; Hu, F.B.; Chen, Z.; Li, L.; Wu, T."	Cooking fuels and risk of all-cause and cardiopulmonary mortality in urban China: a prospective cohort study	Lancet Global Health		https://doi.org/10.1016/S2214-109X(19)30525-X		"Background- Cooking practice has transitioned from use of solid fuels to use of clean fuels, with addition of better ventilation facilities. However, the change in mortality risk associated with such a transition remains unclear. Methods- The China Kadoorie Biobank (CKB) Study enrolled participants (aged 30_79 years) from ten areas across China; we chose to study participants from five urban areas where transition from use of solid fuels to clean fuels for cooking was prevalent. Participants who reported regular cooking (weekly or more frequently) at baseline were categorised as persistent clean fuel users, previous solid fuel users, or persistent solid fuel users, according to selfreported fuel use histories. All-cause and cardiopulmonary mortality were identified through linkage to China¬ês Disease Surveillance Point system and local mortality records. Findings-  Between June 24, 2004, and July 15, 2008, 226186 participants living in five urban areas of China were enrolled in the CKB Study. Among 171677 participants who reported cooking regularly (weekly or more frequently), 75785 (44%) were persistent clean fuel users, 80511 (47%) were previous solid fuel users, and 15381 (9%) were persistent solid fuel users. During a mean of 9√∂8 (SD 1√∂7) years of follow-up, 10831 deaths were documented, including 3819 cardiovascular deaths and 761 respiratory deaths. Compared with persistent clean fuel users, persistent solid fuel users had significantly higher risks of all-cause mortality (hazard ratio [HR] 1√∂19, 95% CI 1√∂10_1√∂28), cardiovascular mortality (1√∂24, 1√∂10_1√∂39), and respiratory mortality (1√∂43, 1√∂10_1√∂85). The excess risk of all-cause and cardiopulmonary mortality fell by more than 60% in 5 years after cessation of solid fuel use and continued to decrease afterwards. Use of ventilation was associated with lower all-cause mortality risk, even among persistent clean fuel users (HR 0√∂78, 0√∂69_0√∂89). Interpretation-  Solid fuel use for cooking is associated with a higher risk of mortality, and cessation of solid fuel use cuts excess mortality risks swiftly and substantially within 5 years. Ventilation use also lowers the risk of mortality, even among people who persistently use clean fuels. It is of prime importance for both policy makers and the public to accelerate the transition from solid fuels to clean fuels and promote efficient ventilation to minimise further adverse health effects."		Jan19th	10 pp		China	31.3286305	120.36	Urban	226186	Y	Other		2004	9.8		N				Social 	Human Health and Wellbeing [Improved]			Neither																				
S184a	Journal Article	2020	"Yu, K.; Lv, J.; Qiu, G.; Yu, C.; Guo, Y.; Bian, Z.; Yang, L.; Chen, Y.; Wang, C.; Pan, A.; Liang, L.; Hu, F.B.; Chen, Z.; Li, L.; Wu, T."	Cooking fuels and risk of all-cause and cardiopulmonary mortality in urban China: a prospective cohort study	Lancet Global Health		https://doi.org/10.1016/S2214-109X(19)30525-X		"Background- Cooking practice has transitioned from use of solid fuels to use of clean fuels, with addition of better ventilation facilities. However, the change in mortality risk associated with such a transition remains unclear. Methods- The China Kadoorie Biobank (CKB) Study enrolled participants (aged 30_79 years) from ten areas across China; we chose to study participants from five urban areas where transition from use of solid fuels to clean fuels for cooking was prevalent. Participants who reported regular cooking (weekly or more frequently) at baseline were categorised as persistent clean fuel users, previous solid fuel users, or persistent solid fuel users, according to selfreported fuel use histories. All-cause and cardiopulmonary mortality were identified through linkage to China¬ês Disease Surveillance Point system and local mortality records. Findings-  Between June 24, 2004, and July 15, 2008, 226186 participants living in five urban areas of China were enrolled in the CKB Study. Among 171677 participants who reported cooking regularly (weekly or more frequently), 75785 (44%) were persistent clean fuel users, 80511 (47%) were previous solid fuel users, and 15381 (9%) were persistent solid fuel users. During a mean of 9√∂8 (SD 1√∂7) years of follow-up, 10831 deaths were documented, including 3819 cardiovascular deaths and 761 respiratory deaths. Compared with persistent clean fuel users, persistent solid fuel users had significantly higher risks of all-cause mortality (hazard ratio [HR] 1√∂19, 95% CI 1√∂10_1√∂28), cardiovascular mortality (1√∂24, 1√∂10_1√∂39), and respiratory mortality (1√∂43, 1√∂10_1√∂85). The excess risk of all-cause and cardiopulmonary mortality fell by more than 60% in 5 years after cessation of solid fuel use and continued to decrease afterwards. Use of ventilation was associated with lower all-cause mortality risk, even among persistent clean fuel users (HR 0√∂78, 0√∂69_0√∂89). Interpretation-  Solid fuel use for cooking is associated with a higher risk of mortality, and cessation of solid fuel use cuts excess mortality risks swiftly and substantially within 5 years. Ventilation use also lowers the risk of mortality, even among people who persistently use clean fuels. It is of prime importance for both policy makers and the public to accelerate the transition from solid fuels to clean fuels and promote efficient ventilation to minimise further adverse health effects."		Jan19th	10 pp		China	24.3040349	109.273787	Urban	226186	Y	Other		2004	9.8		N				Social 	Human Health and Wellbeing [Improved]			Neither																				
S184a	Journal Article	2020	"Yu, K.; Lv, J.; Qiu, G.; Yu, C.; Guo, Y.; Bian, Z.; Yang, L.; Chen, Y.; Wang, C.; Pan, A.; Liang, L.; Hu, F.B.; Chen, Z.; Li, L.; Wu, T."	Cooking fuels and risk of all-cause and cardiopulmonary mortality in urban China: a prospective cohort study	Lancet Global Health		https://doi.org/10.1016/S2214-109X(19)30525-X		"Background- Cooking practice has transitioned from use of solid fuels to use of clean fuels, with addition of better ventilation facilities. However, the change in mortality risk associated with such a transition remains unclear. Methods- The China Kadoorie Biobank (CKB) Study enrolled participants (aged 30_79 years) from ten areas across China; we chose to study participants from five urban areas where transition from use of solid fuels to clean fuels for cooking was prevalent. Participants who reported regular cooking (weekly or more frequently) at baseline were categorised as persistent clean fuel users, previous solid fuel users, or persistent solid fuel users, according to selfreported fuel use histories. All-cause and cardiopulmonary mortality were identified through linkage to China¬ês Disease Surveillance Point system and local mortality records. Findings-  Between June 24, 2004, and July 15, 2008, 226186 participants living in five urban areas of China were enrolled in the CKB Study. Among 171677 participants who reported cooking regularly (weekly or more frequently), 75785 (44%) were persistent clean fuel users, 80511 (47%) were previous solid fuel users, and 15381 (9%) were persistent solid fuel users. During a mean of 9√∂8 (SD 1√∂7) years of follow-up, 10831 deaths were documented, including 3819 cardiovascular deaths and 761 respiratory deaths. Compared with persistent clean fuel users, persistent solid fuel users had significantly higher risks of all-cause mortality (hazard ratio [HR] 1√∂19, 95% CI 1√∂10_1√∂28), cardiovascular mortality (1√∂24, 1√∂10_1√∂39), and respiratory mortality (1√∂43, 1√∂10_1√∂85). The excess risk of all-cause and cardiopulmonary mortality fell by more than 60% in 5 years after cessation of solid fuel use and continued to decrease afterwards. Use of ventilation was associated with lower all-cause mortality risk, even among persistent clean fuel users (HR 0√∂78, 0√∂69_0√∂89). Interpretation-  Solid fuel use for cooking is associated with a higher risk of mortality, and cessation of solid fuel use cuts excess mortality risks swiftly and substantially within 5 years. Ventilation use also lowers the risk of mortality, even among people who persistently use clean fuels. It is of prime importance for both policy makers and the public to accelerate the transition from solid fuels to clean fuels and promote efficient ventilation to minimise further adverse health effects."		Jan19th	10 pp		China	20.0122132	110.1780989	Urban	226186	Y	Other		2004	9.8		N				Social 	Human Health and Wellbeing [Improved]			Neither																				
S25	Journal Article	2013	"Christiaensen, L.; Heltberg, R."	Greening China's rural energy: new insights on the potential of smallholder biogas	Environment and Development Economics	1355-770X	10.1017/S1355770X13000375	https://www.cambridge.org/core/article/greening-chinas-rural-energy-new-insights-on-the-potential-of-smallholder-biogas/F5A6DE9BFD91B31D8D3C05F425D04806	"This study assesses a new generation of smallholder biogas, an applied sustainable energy technology currently being rolled out on a massive scale in rural China. In the past, the implementation of biogas programs has been largely disappointing, in China (and elsewhere). User satisfaction with the new program is high, based on purposively collected data from 2,700 households in five provinces, and the available evidence suggests tangible environmental and economic benefits. There are strong indications of fuel switching away from fuelwood and crop residues. Less time is spent on fuelwood collection and cooking, which benefits women especially. Adopters save on fertilizers by using biogas residues. Finally, problems with suspension and interrupted supply appear lower than in earlier studies. Overall, these initial findings are grounds for optimism about the potential for scaled-up smallholder biogas to deliver safe and clean rural energy, in China and beyond, provided critical conditions are met."	19	1			China	31.07	107.76	Rural	2700	Y	Energy - Fuel Transition	2006	2009	0.5	3	N	N	NA	N	Social and Economic and Environmental	Time Saving [Improved]; Gender Equity [Improved]; Leisure [Improved]; Human Health and Wellbeing [Improved]; Drudgery [Improved]	Fuel Use [Improved]; Income Generation [Improved]	Emissions Within Homes [Improved]	Drivers and Barriers	Probability of adoption increases with income while it decreases with share of income stemming from remittances - highlighting importance of labor availability. ; 	Labor and animal shortages key reasons for nonadoption [of Biogas]				"36% responders expressed, at least part time, suspension of technology due to issues with the technology - e.g. insufficient gas and too few animals "		Target technology not suitable for farm households with limited financial and labor resources. ;												
S25	Journal Article	2013	"Christiaensen, L.; Heltberg, R."	Greening China's rural energy: new insights on the potential of smallholder biogas	Environment and Development Economics	1355-770X	10.1017/S1355770X13000375	https://www.cambridge.org/core/article/greening-chinas-rural-energy-new-insights-on-the-potential-of-smallholder-biogas/F5A6DE9BFD91B31D8D3C05F425D04806	"This study assesses a new generation of smallholder biogas, an applied sustainable energy technology currently being rolled out on a massive scale in rural China. In the past, the implementation of biogas programs has been largely disappointing, in China (and elsewhere). User satisfaction with the new program is high, based on purposively collected data from 2,700 households in five provinces, and the available evidence suggests tangible environmental and economic benefits. There are strong indications of fuel switching away from fuelwood and crop residues. Less time is spent on fuelwood collection and cooking, which benefits women especially. Adopters save on fertilizers by using biogas residues. Finally, problems with suspension and interrupted supply appear lower than in earlier studies. Overall, these initial findings are grounds for optimism about the potential for scaled-up smallholder biogas to deliver safe and clean rural energy, in China and beyond, provided critical conditions are met."	19	1			China	31	115.02	Rural	2700	Y	Energy - Fuel Transition	2006	2009	0.5	3	N	N	NA	N	Social and Economic and Environmental	Time Saving [Improved]; Gender Equity [Improved]; Leisure [Improved]; Human Health and Wellbeing [Improved]; Drudgery [Improved]	Fuel Use [Improved]; Income Generation [Improved]	Emissions Within Homes [Improved]	Drivers and Barriers	Probability of adoption increases with income while it decreases with share of income stemming from remittances - highlighting importance of labor availability. ; 	Labor and animal shortages key reasons for nonadoption [of Biogas]				"36% responders expressed, at least part time, suspension of technology due to issues with the technology - e.g. insufficient gas and too few animals "		Target technology not suitable for farm households with limited financial and labor resources. ;												
S25	Journal Article	2013	"Christiaensen, L.; Heltberg, R."	Greening China's rural energy: new insights on the potential of smallholder biogas	Environment and Development Economics	1355-770X	10.1017/S1355770X13000375	https://www.cambridge.org/core/article/greening-chinas-rural-energy-new-insights-on-the-potential-of-smallholder-biogas/F5A6DE9BFD91B31D8D3C05F425D04806	"This study assesses a new generation of smallholder biogas, an applied sustainable energy technology currently being rolled out on a massive scale in rural China. In the past, the implementation of biogas programs has been largely disappointing, in China (and elsewhere). User satisfaction with the new program is high, based on purposively collected data from 2,700 households in five provinces, and the available evidence suggests tangible environmental and economic benefits. There are strong indications of fuel switching away from fuelwood and crop residues. Less time is spent on fuelwood collection and cooking, which benefits women especially. Adopters save on fertilizers by using biogas residues. Finally, problems with suspension and interrupted supply appear lower than in earlier studies. Overall, these initial findings are grounds for optimism about the potential for scaled-up smallholder biogas to deliver safe and clean rural energy, in China and beyond, provided critical conditions are met."	19	1			China	29.56	106.27	Rural	2700	Y	Energy - Fuel Transition	2006	2009	0.5	3	N	N	NA	N	Social and Economic and Environmental	Time Saving [Improved]; Gender Equity [Improved]; Leisure [Improved]; Human Health and Wellbeing [Improved]; Drudgery [Improved]	Fuel Use [Improved]; Income Generation [Improved]	Emissions Within Homes [Improved]	Drivers and Barriers	Probability of adoption increases with income while it decreases with share of income stemming from remittances - highlighting importance of labor availability. ; 	Labor and animal shortages key reasons for nonadoption [of Biogas]				"36% responders expressed, at least part time, suspension of technology due to issues with the technology - e.g. insufficient gas and too few animals "		Target technology not suitable for farm households with limited financial and labor resources. ;												
S25	Journal Article	2013	"Christiaensen, L.; Heltberg, R."	Greening China's rural energy: new insights on the potential of smallholder biogas	Environment and Development Economics	1355-770X	10.1017/S1355770X13000375	https://www.cambridge.org/core/article/greening-chinas-rural-energy-new-insights-on-the-potential-of-smallholder-biogas/F5A6DE9BFD91B31D8D3C05F425D04806	"This study assesses a new generation of smallholder biogas, an applied sustainable energy technology currently being rolled out on a massive scale in rural China. In the past, the implementation of biogas programs has been largely disappointing, in China (and elsewhere). User satisfaction with the new program is high, based on purposively collected data from 2,700 households in five provinces, and the available evidence suggests tangible environmental and economic benefits. There are strong indications of fuel switching away from fuelwood and crop residues. Less time is spent on fuelwood collection and cooking, which benefits women especially. Adopters save on fertilizers by using biogas residues. Finally, problems with suspension and interrupted supply appear lower than in earlier studies. Overall, these initial findings are grounds for optimism about the potential for scaled-up smallholder biogas to deliver safe and clean rural energy, in China and beyond, provided critical conditions are met."	19	1			China	27.32	107.03	Rural	2700	Y	Energy - Fuel Transition	2006	2009	0.5	3	N	N	NA	N	Social and Economic and Environmental	Time Saving [Improved]; Gender Equity [Improved]; Leisure [Improved]; Human Health and Wellbeing [Improved]; Drudgery [Improved]	Fuel Use [Improved]; Income Generation [Improved]	Emissions Within Homes [Improved]	Drivers and Barriers	Probability of adoption increases with income while it decreases with share of income stemming from remittances - highlighting importance of labor availability. ; 	Labor and animal shortages key reasons for nonadoption [of Biogas]				"36% responders expressed, at least part time, suspension of technology due to issues with the technology - e.g. insufficient gas and too few animals "		Target technology not suitable for farm households with limited financial and labor resources. ;												
