Study ID	Author and Year	Reference	Reference Number in Manuscript	Country	Type of Miombo	Type of Study	Study Year	LonDD	LatDD	Cover Type	Category	Age in Years	Treatment	Management	AGwodCMgperHa	AGCOpenareas	AGCGMA	AGCForestReserves	AGCNationalParks	"Biomass & Basal area data (BGCMg/ha, OGBGCMg/ha, BasalArea  sqm/ha, BA as Mg/ha, BA as C Mg/ha, Biomass Mg/ha, Biomass as C Mg/ha, Aboveground C Mg/ha, Belowground biomass Mg/ha)"	"Soil data (Soil C Mg/ha, Oldgrowth soil C Mg/ha, Cropland C Mg/ha, Postcultivation soil C Mg/ha, Soil C Mg/ha, Soil organic matter content (%))"
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	27.783301	-13.12565	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	27.873017	-13.06396	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	28.079479	-12.91234	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	28.091556	-13.35682	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	28.118586	-13.31618	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	28.211753	-13.2937	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	28.259487	-13.0115	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	28.283641	-13.0654	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	28.289392	-12.98729	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	28.304345	-13.35682	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	28.373357	-13.09538	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	28.445245	-13.38392	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	28.484352	-13.38075	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	28.538412	-13.32223	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	28.694265	-13.39141	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	28.789733	-13.38075	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
7174	Guy (1981) 	"Guy P Changes in the Biomass and Productivity of Woodlands in the Sengwa Wildlife Research Area, Zimbabwe J Appl Ecol 1981;18:507–19 doi:10 2307/2402412"	20	Zimbabwe	dry	quantitative	1976	28.2333	-18.167	 	Oldgrowth	 	 	 NP	Data Reported				Data Reported		
8107	Chidumayo (1991)	Chidumayo EN Woody biomass structure and utilisation for charcoal production in a Zambian Miombo woodland Bioresour Technol 1991;37:43–52 doi:10 1016/0960-8524(91)90110-6	13	Zambia	wet	quantitative	1984	28.543134	-15.24408	 	Oldgrowth	 	 	 FR	Data Reported			Data Reported			
8107	Chidumayo (1991)	Chidumayo EN Woody biomass structure and utilisation for charcoal production in a Zambian Miombo woodland Bioresour Technol 1991;37:43–52 doi:10 1016/0960-8524(91)90110-6	13	Zambia	wet	quantitative	1984	28.522767	-15.20734	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
8107	Chidumayo (1991)	Chidumayo EN Woody biomass structure and utilisation for charcoal production in a Zambian Miombo woodland Bioresour Technol 1991;37:43–52 doi:10 1016/0960-8524(91)90110-6	13	Zambia	wet	quantitative	1984	28.055283	-15.14946	 Oldgrowth	Oldgrowth	 	 Open	 None						Data Reported	
8107	Chidumayo (1991)	Chidumayo EN Woody biomass structure and utilisation for charcoal production in a Zambian Miombo woodland Bioresour Technol 1991;37:43–52 doi:10 1016/0960-8524(91)90110-6	13	Zambia	wet	quantitative	1984	27.903982	-15.12329	 Regrowth	Postclear	 	 FR	 FR						Data Reported	
8107	Chidumayo (1991)	Chidumayo EN Woody biomass structure and utilisation for charcoal production in a Zambian Miombo woodland Bioresour Technol 1991;37:43–52 doi:10 1016/0960-8524(91)90110-6	13	Zambia	wet	quantitative	1984	27.87828	-15.12078	 Oldgrowth	Oldgrowth	 	 FR	 FR						Data Reported	
8107	Chidumayo (1991)	Chidumayo EN Woody biomass structure and utilisation for charcoal production in a Zambian Miombo woodland Bioresour Technol 1991;37:43–52 doi:10 1016/0960-8524(91)90110-6	13	Zambia	wet	quantitative	1984	27.027208	-14.86663	 Oldgrowth	Oldgrowth	 	 Forestry	 FR						Data Reported	
8107	Chidumayo (1991)	Chidumayo EN Woody biomass structure and utilisation for charcoal production in a Zambian Miombo woodland Bioresour Technol 1991;37:43–52 doi:10 1016/0960-8524(91)90110-6	13	Zambia	wet	quantitative	1984	28.543134	-15.24408	 Regrowth	Postclear	 	 NP	 Wildlife						Data Reported	
8107	Chidumayo (1991)	Chidumayo EN Woody biomass structure and utilisation for charcoal production in a Zambian Miombo woodland Bioresour Technol 1991;37:43–52 doi:10 1016/0960-8524(91)90110-6	13	Zambia	wet	quantitative	1984	28.543134	-15.24408	 Oldgrowth	Oldgrowth	 	 Charcoal	 None						Data Reported	
8107	Chidumayo (1991)	Chidumayo EN Woody biomass structure and utilisation for charcoal production in a Zambian Miombo woodland Bioresour Technol 1991;37:43–52 doi:10 1016/0960-8524(91)90110-6	13	Zambia	wet	quantitative	1984	28.543134	-15.24408	 Oldgrowth	Oldgrowth	 	 Charcoal	 None						Data Reported	
8128	Chidumayo (1989)	Chidumayo EN Early Post-Felling Response of Marquesia Woodland to Burning in the Zambian Copperbelt J Ecol 1989;77:430–8 http://links jstor org/sici?sici=0022-0477(198906)77:2%3C430:EPROMW%3E2 0 CO;2-3	12	Zambia	wet	quantitative	1982	28.27	-12.43	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
8128	Chidumayo (1989)	Chidumayo EN Early Post-Felling Response of Marquesia Woodland to Burning in the Zambian Copperbelt J Ecol 1989;77:430–8 http://links jstor org/sici?sici=0022-0477(198906)77:2%3C430:EPROMW%3E2 0 CO;2-3	12	Zambia	wet	quantitative	1982	28.27	-12.43	 Oldgrowth	Oldgrowth	 	 Open	 Forestry						Data Reported	
8128	Chidumayo (1989)	Chidumayo EN Early Post-Felling Response of Marquesia Woodland to Burning in the Zambian Copperbelt J Ecol 1989;77:430–8 http://links jstor org/sici?sici=0022-0477(198906)77:2%3C430:EPROMW%3E2 0 CO;2-3	12	Zambia	wet	quantitative	1982	28.27	-12.43	 Regrowth	Postclear	3	 EB	 Forestry						Data Reported	
8128	Chidumayo (1989)	Chidumayo EN Early Post-Felling Response of Marquesia Woodland to Burning in the Zambian Copperbelt J Ecol 1989;77:430–8 http://links jstor org/sici?sici=0022-0477(198906)77:2%3C430:EPROMW%3E2 0 CO;2-3	12	Zambia	wet	quantitative	1982	28.27	-12.43	 Regrowth	Postclear	3	 LB	 Forestry						Data Reported	
9646	Shelukindo et al. (2014)	"Shelukindo H, Semu E, Msanya B, Singh B, Munishi P Soil organic carbon stocks in the dominant soils of the miombo woodland ecosystem of Kitonga Forest Reserve, Iringa, Tanzania Int J Agric Policy Res 2014;2:167–77"	39	Tanzania	dry	quantitative	1982	37.14167	-7.65	 Oldgrowth	Oldgrowth	 	 FR	 Forestry							Data Reported
9659	Ando et al. (2014 b) 	"Ando K, Shinjo H, Kuramitsu H, Miura R, Sokotela S, Funakawa S Effects of cropping and short-natural fallow rotation on soil organic carbon in the Eastern Province of Zambia Agric Ecosyst Environ 2014;196:34–41 doi:10 1016/j agee 2014 6 12"	2	Zambia	wet	quantitative	1982	31.7167	-14.1333	 Regrowth	Postcult	1	 None	 None							Data Reported
9659	Ando et al. (2014 b) 	"Ando K, Shinjo H, Kuramitsu H, Miura R, Sokotela S, Funakawa S Effects of cropping and short-natural fallow rotation on soil organic carbon in the Eastern Province of Zambia Agric Ecosyst Environ 2014;196:34–41 doi:10 1016/j agee 2014 6 12"	2	Zambia	wet	quantitative	1982	31.7167	-14.1333	 Regrowth	Postcult	2	 None	 None							Data Reported
9659	Ando et al. (2014 b) 	"Ando K, Shinjo H, Kuramitsu H, Miura R, Sokotela S, Funakawa S Effects of cropping and short-natural fallow rotation on soil organic carbon in the Eastern Province of Zambia Agric Ecosyst Environ 2014;196:34–41 doi:10 1016/j agee 2014 6 12"	2	Zambia	wet	quantitative	1982	31.7167	-14.1333	 Regrowth	Postcult	3	 None	 None							Data Reported
9659	Ando et al. (2014 b) 	"Ando K, Shinjo H, Kuramitsu H, Miura R, Sokotela S, Funakawa S Effects of cropping and short-natural fallow rotation on soil organic carbon in the Eastern Province of Zambia Agric Ecosyst Environ 2014;196:34–41 doi:10 1016/j agee 2014 6 12"	2	Zambia	wet	quantitative	1982	31.7167	-14.1333	 Regrowth	Postcult	4	 None	 None							Data Reported
9721	Sawe et al. (2014) 	"Sawe TC, Munishi PKT, Maliondo SM Woodlands degradation in the Southern Highlands, miombo of Tanzania: Implications on conservation and carbon stocks J Biodivers Conserv 2014;6 March:230–7"	38	Tanzania	wet	quantitative	2005	33.46028	-8.53528	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
9721	Sawe et al. (2014) 	"Sawe TC, Munishi PKT, Maliondo SM Woodlands degradation in the Southern Highlands, miombo of Tanzania: Implications on conservation and carbon stocks J Biodivers Conserv 2014;6 March:230–7"	38	Tanzania	wet	quantitative	2005	33.46028	-8.53528	 Oldgrowth	Oldgrowth	 	 WoodHarvesti	 Forestry						Data Reported	
9880	Mapanda et al. (2013) 	"Mapanda F, Munotengwa S, Wuta M, Nyamugafata P, Nyamangara J Short-term responses of selected soil properties to clearing and cropping of miombo woodlands in central Zimbabwe Soil Tillage Res 2013;129:75–82 doi:10 1016/j still 2013 1 8"	29	Zimbabwe	dry	quantitative	2011	31.01333	-17.70667	 Cropland	Cultivation	 	 Cropland	 None							Data Reported
9880	Mapanda et al. (2013) 	"Mapanda F, Munotengwa S, Wuta M, Nyamugafata P, Nyamangara J Short-term responses of selected soil properties to clearing and cropping of miombo woodlands in central Zimbabwe Soil Tillage Res 2013;129:75–82 doi:10 1016/j still 2013 1 8"	29	Zimbabwe	dry	quantitative	2011	31.01333	-17.70667	 Oldgrowth	Oldgrowth	 	 OG	 None							Data Reported
9880	Mapanda et al. (2013) 	"Mapanda F, Munotengwa S, Wuta M, Nyamugafata P, Nyamangara J Short-term responses of selected soil properties to clearing and cropping of miombo woodlands in central Zimbabwe Soil Tillage Res 2013;129:75–82 doi:10 1016/j still 2013 1 8"	29	Zimbabwe	dry	quantitative	2011	31.01333	-17.70667	 Oldgrowth	Oldgrowth	 	 OGCleared	 None							Data Reported
9880	Mapanda et al. (2013) 	"Mapanda F, Munotengwa S, Wuta M, Nyamugafata P, Nyamangara J Short-term responses of selected soil properties to clearing and cropping of miombo woodlands in central Zimbabwe Soil Tillage Res 2013;129:75–82 doi:10 1016/j still 2013 1 8"	29	Zimbabwe	dry	quantitative	2011	31.01333	-17.70667	 	Oldgrowth	 	 	 Mixed	Data Reported	Data Reported					
9880	Mapanda et al. (2013) 	"Mapanda F, Munotengwa S, Wuta M, Nyamugafata P, Nyamangara J Short-term responses of selected soil properties to clearing and cropping of miombo woodlands in central Zimbabwe Soil Tillage Res 2013;129:75–82 doi:10 1016/j still 2013 1 8"	29	Zimbabwe	dry	quantitative	2011	31.01333	-17.70667	 	Oldgrowth	 	 	 Mixed	Data Reported	Data Reported					
9880	Mapanda et al. (2013) 	"Mapanda F, Munotengwa S, Wuta M, Nyamugafata P, Nyamangara J Short-term responses of selected soil properties to clearing and cropping of miombo woodlands in central Zimbabwe Soil Tillage Res 2013;129:75–82 doi:10 1016/j still 2013 1 8"	29	Zimbabwe	dry	quantitative	2011	31.01333	-17.70667	 	Oldgrowth	 	 	 Mixed	Data Reported	Data Reported					
10620	Hofstad & Araya (2015) 	"Hofstad O, Araya MM Optimal wood harvest in miombo woodland considering REDD+payments — A case study at Kitulangalo Forest Reserve, Tanzania For Policy Econ 2015;51:9–16 doi:10 1016/j forpol 2014 11 2"	21	Tanzania	dry	quantitative	1993	38.0667	-6.6583	 	Oldgrowth	 	 	 FR	Data Reported			Data Reported			
10620	Hofstad & Araya (2015) 	"Hofstad O, Araya MM Optimal wood harvest in miombo woodland considering REDD+payments — A case study at Kitulangalo Forest Reserve, Tanzania For Policy Econ 2015;51:9–16 doi:10 1016/j forpol 2014 11 2"	21	Tanzania	dry	quantitative	1993	38.0667	-6.6583	 Oldgrowth	Oldgrowth	 	 FR	 Forestry						Data Reported	
11736	Stromgaard (1985) 	"Stromgaard P Biomass, growth, and burning of woodland in a shifting cultivation area of South Central Africa For Ecol Manage 1985;12:163–78"	43	Zambia	wet	quantitative	1993	31.2	-10.3	 Regrowth	Postcult	16	 Open	 None						Data Reported	
11736	Stromgaard (1985) 	"Stromgaard P Biomass, growth, and burning of woodland in a shifting cultivation area of South Central Africa For Ecol Manage 1985;12:163–78"	43	Zambia	wet	quantitative	1993	31.2	-10.3	 Regrowth	Postcult	6	 Open	 None						Data Reported	
16864	Jenkinson et al. (1999) 	"Jenkinson DS, Meredith J, Kinyamario J, Warren GP, Wong MTF, Harkness DD, et al Estimating net primary production from measurements made on soil organic matter Ecology 1999;80:2762–73"	22	Zambia	wet	quantitative	1993	31.183	-10.167	 Oldgrowth	Oldgrowth	 	 FR	 Forestry							Data Reported
9762-QL	Chomba et al. (2013) 	"Chomba C, Nyirenda V, Silengo M Selective use patterns of woody plant species by local communities in Mumbwa Game Management Area: A prerequisite for effective management of woodland resources and benefit sharing Open J Ecol 2013;3:532–50 doi:10 4236/oje 2013 38062"	17	Zambia	wet	qualitative&quantitative	2011	26.46667	-15.13335	 Oldgrowth	Oldgrowth	 	 WoodHarvesti	 None						Data Reported	
9762-QL	Chomba et al. (2013) 	"Chomba C, Nyirenda V, Silengo M Selective use patterns of woody plant species by local communities in Mumbwa Game Management Area: A prerequisite for effective management of woodland resources and benefit sharing Open J Ecol 2013;3:532–50 doi:10 4236/oje 2013 38062"	17	Zambia	wet	qualitative&quantitative	2011	26.46667	-15.13335	 Oldgrowth	Oldgrowth	 	 WildlifeCons	 Wildlife						Data Reported	
9762-QL	Chomba et al. (2013) 	"Chomba C, Nyirenda V, Silengo M Selective use patterns of woody plant species by local communities in Mumbwa Game Management Area: A prerequisite for effective management of woodland resources and benefit sharing Open J Ecol 2013;3:532–50 doi:10 4236/oje 2013 38062"	17	Zambia	wet	qualitative&quantitative	2011	26.46667	-15.13335	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
9762-QL	Chomba et al. (2013) 	"Chomba C, Nyirenda V, Silengo M Selective use patterns of woody plant species by local communities in Mumbwa Game Management Area: A prerequisite for effective management of woodland resources and benefit sharing Open J Ecol 2013;3:532–50 doi:10 4236/oje 2013 38062"	17	Zambia	wet	qualitative&quantitative	2011	26.46667	-15.13335	 	Oldgrowth	 	 	 GMA	Data Reported		Data Reported				
9938-QL	Mbwambo et al. (2012) 	"Mbwambo L, Eid T, Malimbwi RE, Zahabu E, Kajembe GC, Luoga E Impact of decentralised forest management on forest resource conditions in Tanzania For Trees Livelihoods 2012;21:97–113"	30	Tanzania	dry	qualitative&quantitative	2008	35.083	-4.75	 Oldgrowth	Oldgrowth	 	 Current2010	 FRDM						Data Reported	
9938-QL	Mbwambo et al. (2012) 	"Mbwambo L, Eid T, Malimbwi RE, Zahabu E, Kajembe GC, Luoga E Impact of decentralised forest management on forest resource conditions in Tanzania For Trees Livelihoods 2012;21:97–113"	30	Tanzania	dry	qualitative&quantitative	2008	35.083	-4.75	 Oldgrowth	Oldgrowth	 	 Baseline94	 FRCM						Data Reported	
9938-QL	Mbwambo et al. (2012) 	"Mbwambo L, Eid T, Malimbwi RE, Zahabu E, Kajembe GC, Luoga E Impact of decentralised forest management on forest resource conditions in Tanzania For Trees Livelihoods 2012;21:97–113"	30	Tanzania	dry	qualitative&quantitative	2010	35.083	-4.75	 	Oldgrowth	 	 	 FR	Data Reported			Data Reported			
9938-QL	Mbwambo et al. (2012) 	"Mbwambo L, Eid T, Malimbwi RE, Zahabu E, Kajembe GC, Luoga E Impact of decentralised forest management on forest resource conditions in Tanzania For Trees Livelihoods 2012;21:97–113"	30	Tanzania	dry	qualitative&quantitative	2010	35.083	-4.75	 	Oldgrowth	 	 	 FR	Data Reported			Data Reported			
9938-QL	Mbwambo et al. (2012) 	"Mbwambo L, Eid T, Malimbwi RE, Zahabu E, Kajembe GC, Luoga E Impact of decentralised forest management on forest resource conditions in Tanzania For Trees Livelihoods 2012;21:97–113"	30	Tanzania	dry	qualitative&quantitative	2010	35.083	-4.75	 	Oldgrowth	 	 	 FR	Data Reported			Data Reported			
