ID	Which of the following most accurately reflects your position?	LatDD	LonDD	What proportion of your woods are Ancient woodland (Semi-natural)?	What proportion of your woods are Ancient woodland (Plantations (PAWS))?	What proportion of your woods are Ancient woodland (Restored PAWS)?	What proportion of your woods are Secondary woods (Semi-natural)?	What proportion of your woods are Secondary woods (Plantations)?	What proportion of your woodland is mainly broadleaved stands? 	What proportion of your woodland is mainly conifer stands?	What proportion of your woodland is a mixture of both broadlead and conifer stands?	What proportion of stands in your woodland are even-aged?	What proportion of stands in your woodland are uneven-aged? 	What best describes your business or professional sector?	Region
923	Professional: I have a professional or personal interest in forests and forestry in the UK	50.76339	-1.30051											Public sector - local government	South East
924	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	51.88979	-2.5535		50		50		50	50		95		Other	West Midlands
926	Woodland owner: I own land containing woodland (a single woodland property)	52.32241	-2.66364		10			90			100		100		West Midlands
927	Woodland owner: I own land containing woodland (multiple woodland properties)	51.29473	-2.55693	35	32	33			75	25		60	40		South West
928	Woodland owner: I own land containing woodland (a single woodland property)	51.59572	-0.4764	0	0	0	95	5	100	0	0	5	95		London
929	Woodland owner: I own land containing woodland (a single woodland property)	51.3764	-1.46522					100	80	20		50	50		South East
931	Professional: I have a professional or personal interest in forests and forestry in the UK	54.23793	-0.52288											Public sector - central/devolved government	Yorkshire and The Humber
932	Woodland owner: I own land containing woodland (a single woodland property)	51.18359	-0.40014		100						100		100		South East
933	Woodland owner: I own land containing woodland (a single woodland property)	51.18203	-2.16781	100							100	90	10		South West
934	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	53.95415	-1.59735	0	0	0	0	100	100	0	0	90	10	Other	Yorkshire and The Humber
935	Professional: I have a professional or personal interest in forests and forestry in the UK	52.44977	-3.53997											NGO/community organization	Wales
939	Woodland owner: I own land containing woodland (a single woodland property)	55.20243	-4.00658	25	25			50	100						Scotland
940	Professional: I have a professional or personal interest in forests and forestry in the UK	51.99672	-3.79852											Public sector - central/devolved government	Wales
943	Professional: I have a professional or personal interest in forests and forestry in the UK	53.40088	-2.43828											Other	North West
944	Professional: I have a professional or personal interest in forests and forestry in the UK	51.40148	-1.32471											Other	South East
946	Professional: I have a professional or personal interest in forests and forestry in the UK	51.46342	-2.58041											No professional involvement in forestry (personal interest)	South West
947	Woodland owner: I own land containing woodland (a single woodland property)	55.62625	-3.0754		100				1	99		100			Scotland
951	Woodland owner: I own land containing woodland (a single woodland property)	57.47067	-4.17206				95	5			100		100		Scotland
954	Professional: I have a professional or personal interest in forests and forestry in the UK	51.06211	-1.31973											Public sector - central/devolved government	South East
955	Woodland owner: I own land containing woodland (a single woodland property)	51.16234	0.78243	50	20	30			80	20		40	60		South East
956	Professional: I have a professional or personal interest in forests and forestry in the UK	51.37521	-2.34833											Public sector - local government	South West
957	Professional: I have a professional or personal interest in forests and forestry in the UK	56.39522	-3.43139											Public sector - local government	Scotland
965	"Business: Wood-processing sector (e.g. haulier, sawmill, wood user)"	53.14294	-4.15404												Wales
968	Woodland owner: I own land containing woodland (a single woodland property)	51.65009	-0.8826		99		1		99	1		5	95		South East
973	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.95315	-3.51818	40		40		20	60	30	10	30	70	Forest industry	South West
978	Professional: I have a professional or personal interest in forests and forestry in the UK	51.51011	-2.54808											Forest industry	South West
979	Professional: I have a professional or personal interest in forests and forestry in the UK	51.79927	-2.54333											Public sector - central/devolved government	South West
980	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	53.06338	-1.4962	100					95	5			100		East Midlands
982	Woodland owner: I own land containing woodland (a single woodland property)	53.27307	-3.20915	30			70		100	0	0	60	40		Wales
990	Woodland owner: I own land containing woodland (a single woodland property)	56.41631	-5.47131	20	80				20	60		80	20		Scotland
993	Woodland owner: I own land containing woodland (multiple woodland properties)	53.34061	-1.28162	5				95	20	80		95	5		Yorkshire and The Humber
994	Woodland owner: I own land containing woodland (a single woodland property)	53.19457	-3.87674					100	100			100			Wales
995	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	55.88764	-2.74933	50	50				50	20	30	80	20		Scotland
996	Woodland owner: I own land containing woodland (multiple woodland properties)	53.18497	-0.39846	43	53		1	3	89	8	3	82	18		East Midlands
1001	Professional: I have a professional or personal interest in forests and forestry in the UK	51.45557	-2.55944											NGO/community organization	South West
1004	Woodland owner: I own land containing woodland (a single woodland property)	51.60159	0.32588												East of England
1007	Professional: I have a professional or personal interest in forests and forestry in the UK	53.17781	-0.7148											NGO/community organization	East Midlands
1011	Woodland owner: I own land containing woodland (multiple woodland properties)	52.1874	-0.26367												East of England
1012	Woodland owner: I own land containing woodland (multiple woodland properties)	52.44345	-0.50824	50				50	100			50	50		East Midlands
1014	Woodland owner: I own land containing woodland (a single woodland property)	51.57515	-0.69506				50	50	99	1		50	50		South East
1015	Professional: I have a professional or personal interest in forests and forestry in the UK	52.28405	0.12621											Other	East of England
1021	Professional: I have a professional or personal interest in forests and forestry in the UK	56.39522	-3.43139											NGO/community organization	Scotland
1022	Professional: I have a professional or personal interest in forests and forestry in the UK	50.61537	-3.41354											No professional involvement in forestry (personal interest)	South West
1023	Woodland owner: I own land containing woodland (multiple woodland properties)	50.68885	-3.72824	25	18	7	0	50	75	10	15	70	30		South West
1024	Woodland owner: I own land containing woodland (a single woodland property)	53.10887	-1.56281	0	0	0	100	0	100	0	0	20	80		East Midlands
1028	Professional: I have a professional or personal interest in forests and forestry in the UK	52.91149	-0.64184											NGO/community organization	East Midlands
1035	Professional: I have a professional or personal interest in forests and forestry in the UK	50.87248	0.57865											No professional involvement in forestry (personal interest)	South East
1042	Professional: I have a professional or personal interest in forests and forestry in the UK	51.35728	-0.169											Other	London
1052	Woodland owner: I own land containing woodland (a single woodland property)	51.1087	-0.3495	95					100				100		South East
1056	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	52.5884	-3.89834	10	90				10	60	20	40	60		Wales
1060	Professional: I have a professional or personal interest in forests and forestry in the UK	51.53863	-2.15442											NGO/community organization	South West
1063	Woodland owner: I own land containing woodland (multiple woodland properties)	50.12234	-5.58792				85	15	90	3	7	85	15		South West
1064	Professional: I have a professional or personal interest in forests and forestry in the UK	57.15241	-2.09358											Other	Scotland
1066	Woodland owner: I own land containing woodland (multiple woodland properties)	56.21053	-3.27461		0		10	90	5	58	37	100			Scotland
1069	Professional: I have a professional or personal interest in forests and forestry in the UK	52.88529	0.94664											Forest industry	East of England
1071	Professional: I have a professional or personal interest in forests and forestry in the UK	54.15359	-1.06018											Other	Yorkshire and The Humber
1072	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.96037	0.13355		40	40		20	40	30	30	60	40	Forest industry	South East
1073	Professional: I have a professional or personal interest in forests and forestry in the UK	58.00989	-3.85182											Forest industry	Scotland
1074	Professional: I have a professional or personal interest in forests and forestry in the UK	51.83578	-1.37329											Other	South East
1076	"Business: Wood-processing sector (e.g. haulier, sawmill, wood user)"	52.12439	-3.08372												West Midlands
1078	Professional: I have a professional or personal interest in forests and forestry in the UK	51.13523	0.26067											Forest industry	South East
1091	Professional: I have a professional or personal interest in forests and forestry in the UK	51.20794	-2.64896											No professional involvement in forestry (personal interest)	South West
1092	Woodland owner: I own land containing woodland (multiple woodland properties)	52.56425	-2.90468		55			45	100			90	10		West Midlands
1094	Woodland owner: I own land containing woodland (a single woodland property)	51.83493	-2.84683				100		100			50	50		Wales
1095	Woodland owner: I own land containing woodland (multiple woodland properties)	51.74632	-1.66434	33	33	20	5	9	100	0	0	0	100		South East
1096	Woodland owner: I own land containing woodland (a single woodland property)	52.22178	-1.54152	100					99	1		95	5		West Midlands
1098	Woodland owner: I own land containing woodland (a single woodland property)	51.54165	-0.99507	5	95	0	0		99	1		90	10		South East
1099	Woodland owner: I own land containing woodland (multiple woodland properties)	51.68195	-4.16191					100	10	80		100			Wales
1100	Woodland owner: I own land containing woodland (a single woodland property)	52.88985	-1.02516	30	50	10	10		30	50	20	30	50		East Midlands
1106	Woodland owner: I own land containing woodland (a single woodland property)	51.25854	-2.74349	40			60		100			70	30		South West
1107	Woodland owner: I own land containing woodland (multiple woodland properties)	50.99436	-3.32848	100					100				100		South West
1108	Woodland owner: I own land containing woodland (a single woodland property)	54.72536	-1.59924	60	30				60		30	30	60		North East
1109	Woodland owner: I own land containing woodland (a single woodland property)	52.22301	-4.08091	10							90	90	10		Wales
1110	Professional: I have a professional or personal interest in forests and forestry in the UK	51.95376	-3.98675											Other	Wales
1111	Woodland owner: I own land containing woodland (a single woodland property)	52.33238	-2.03106					100	99	1		100			West Midlands
1112	Woodland owner: I own land containing woodland (multiple woodland properties)	55.28199	-4.57907					100		100		80	20		Scotland
1113	Woodland owner: I own land containing woodland (multiple woodland properties)	55.66347	-4.47312	5				95	20	70	10	95	5		Scotland
1116	Woodland owner: I own land containing woodland (multiple woodland properties)	55.87531	-4.54971		5			95	20	60	20	80	20		Scotland
1117	Woodland owner: I own land containing woodland (multiple woodland properties)	50.32716	-3.62909	30			50	20	40	45	15	90	10		South West
1119	Woodland owner: I own land containing woodland (a single woodland property)	52.03903	-1.17105				75	25	50		50		100		East Midlands
1120	Woodland owner: I own land containing woodland (multiple woodland properties)	51.88696	-3.95611	100					100			70	30		Wales
1121	Woodland owner: I own land containing woodland (a single woodland property)	53.65823	-2.78297	0	0	0	100		85	15		100			North West
1123	Woodland owner: I own land containing woodland (a single woodland property)	54.11667	-1.35		70	30			30	40	20	50	50		Yorkshire and The Humber
1124	Woodland owner: I own land containing woodland (a single woodland property)	54.77851	-2.97043	95				5	95	5		95	5		North West
1125	Woodland owner: I own land containing woodland (a single woodland property)	52.08866	-0.73265				50	50	60	40		50	50		South East
1126	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	50.93525	0.01554	90			10		100				100		South East
1129	Woodland owner: I own land containing woodland (a single woodland property)	52.94675	-4.07035	0	0	0		100			100	100			Wales
1131	Woodland owner: I own land containing woodland (a single woodland property)	51.57191	-3.12		20	80			90	10		10	90		Wales
1133	Tenant: I lease land containing woodland (a single woodland property or multiple woodland properties)	50.95724	0.73627	100					100			80	20		South East
1134	Woodland owner: I own land containing woodland (a single woodland property)	51.23111	0.01854	100					100			50	50		South East
1135	Woodland owner: I own land containing woodland (a single woodland property)	51.96703	-1.45803	90	0	0	10		100			70	30		South East
1136	Woodland owner: I own land containing woodland (multiple woodland properties)	51.05111	0.63068	35	15	10	5	35	85	15		20	80		South East
1137	Woodland owner: I own land containing woodland (multiple woodland properties)	52.27824	1.44024	5	30			65	95		5	100			East of England
1138	Woodland owner: I own land containing woodland (a single woodland property)	50.37963	-3.90564	100					100				100		South West
1139	Woodland owner: I own land containing woodland (multiple woodland properties)	52.7	-2.51667	80				20	100	0		80	20		West Midlands
1140	Professional: I have a professional or personal interest in forests and forestry in the UK	51.08994	1.17382											Public sector - local government	South East
1141	Woodland owner: I own land containing woodland (a single woodland property)	55.65319	-4.37977	10	0	0	10	80			100	80	20		Scotland
1142	Professional: I have a professional or personal interest in forests and forestry in the UK	50.90635	-0.07208												South East
1144	Woodland owner: I own land containing woodland (a single woodland property)	51.15638	0.9589		20	80			80	10	10	40	60		South East
1145	Woodland owner: I own land containing woodland (a single woodland property)	51.55125	-0.93976	80				20	80	20		15	85		South East
1146	Woodland owner: I own land containing woodland (a single woodland property)	51.78649	-4.52521	100					100			100			Wales
1147	Woodland owner: I own land containing woodland (multiple woodland properties)	51.10905	0.56		100				5	95		100			South East
1150	Woodland owner: I own land containing woodland (a single woodland property)	54.12921	-1.30071		100						100	80			Yorkshire and The Humber
1152	Woodland owner: I own land containing woodland (multiple woodland properties)	51.87978	-0.08394	100					100			100			East of England
1154	Woodland owner: I own land containing woodland (a single woodland property)	52.38091	-3.86144	0	0	0	40	60	0	0	100	100	0		Wales
1155	Woodland owner: I own land containing woodland (multiple woodland properties)	54.06261	-2.27348		50			50	80	20		50	50		Yorkshire and The Humber
1157	Woodland owner: I own land containing woodland (a single woodland property)	53.38764	-0.33781			100			100				100		East Midlands
1158	Woodland owner: I own land containing woodland (a single woodland property)	51.08203	0.42928	100	0	0	0	0	100	0		80	20		South East
1159	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	51.89131	-2.43175	10	60	30			35	65		70	30	Forest industry	South West
1163	Woodland owner: I own land containing woodland (a single woodland property)	55.86727	-3.0321	100					99	1		30	70		Scotland
1166	Woodland owner: I own land containing woodland (a single woodland property)	52.15034	-3.40233	50		50			45	20	35	50	50		Wales
1167	Woodland owner: I own land containing woodland (a single woodland property)	51.67915	-0.55069		100						100	70	30		South East
1168	Tenant: I lease land containing woodland (a single woodland property or multiple woodland properties)	51.86005	-1.36501	15				85	100			85	15		South East
1171	Professional: I have a professional or personal interest in forests and forestry in the UK	52.73392	-3.03785											Other	Wales
1172	Woodland owner: I own land containing woodland (multiple woodland properties)	51.00042	-2.43019	40				60	100			60	40		South West
1173	Woodland owner: I own land containing woodland (multiple woodland properties)	57.57961	-2.54471	10				90	12	88		60	40		Scotland
1176	Woodland owner: I own land containing woodland (multiple woodland properties)	51.60522	-1.01843	75	10			15	80	10	10	90	10		South East
1177	Woodland owner: I own land containing woodland (a single woodland property)	51.25736	-1.15425	100					100			100			South East
1179	Woodland owner: I own land containing woodland (a single woodland property)	52.89068	-1.04233				50	50	20	80		50	50		East Midlands
1180	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	51.68386	-2.2911	90	10				90	10		50	50		South West
1182	Woodland owner: I own land containing woodland (a single woodland property)	56.3916	-3.43597					100	90	10			100		Scotland
1183	Woodland owner: I own land containing woodland (a single woodland property)	53.09858	-2.2563			100			100			100			North West
1184	Professional: I have a professional or personal interest in forests and forestry in the UK	51.31185	0.85105											No professional involvement in forestry (personal interest)	South East
1185	Woodland owner: I own land containing woodland (a single woodland property)	52.95124	-2.95818				20	80	50	50		80	20		Wales
1186	Professional: I have a professional or personal interest in forests and forestry in the UK	52.32875	-0.18461											Other	East of England
1187	Woodland owner: I own land containing woodland (a single woodland property)	52.00578	1.14232	20				80	60		40	80	20		East of England
1188	Woodland owner: I own land containing woodland (multiple woodland properties)	51.78611	0.66411	60	40				85	15		80	20		East of England
1189	Woodland owner: I own land containing woodland (a single woodland property)	53.07461	-4.26769				100		100			95	5		Wales
1193	Woodland owner: I own land containing woodland (a single woodland property)	52.55298	-1.9693	10	30	0	0	50	80		20	60	40		West Midlands
1196	Woodland owner: I own land containing woodland (multiple woodland properties)	57.43289	-2.96064	21			28	51	25	50	25	53	47		Scotland
1198	Woodland owner: I own land containing woodland (a single woodland property)	52.32443	-1.97495			50	50		95	5					West Midlands
1201	Woodland owner: I own land containing woodland (a single woodland property)	55.17353	-2.3806	100					100			70	30		North East
1202	Woodland owner: I own land containing woodland (a single woodland property)	57.05959	-2.68753	15	10			75	5	85	10	60	40		Scotland
1203	Woodland owner: I own land containing woodland (multiple woodland properties)	50.42514	-4.30115	50		40		10	95	5		5	95		South West
1205	Professional: I have a professional or personal interest in forests and forestry in the UK	52.19751	0.1593											NGO/community organization	East of England
1206	Woodland owner: I own land containing woodland (multiple woodland properties)	56.06526	-4.38423	100					100			75	25		Scotland
1207	Woodland owner: I own land containing woodland (a single woodland property)	53.14433	-2.56215	50	0	0	50	0	100	0	0	50	50		North West
1209	Woodland owner: I own land containing woodland (a single woodland property)	52.23347	0.90401	0	0	0	20	80	100	0	0	100			East of England
1212	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	52.34876	-2.09839					100		75	25	80	20		West Midlands
1213	Woodland owner: I own land containing woodland (a single woodland property)	50.98901	0.60541	75	25				85		15	60	40		South East
1214	Woodland owner: I own land containing woodland (a single woodland property)	52.19023	-1.6034				90	10			100	90	10		West Midlands
1215	Professional: I have a professional or personal interest in forests and forestry in the UK	57.52557	-3.93174											Forest industry	Scotland
1216	Woodland owner: I own land containing woodland (multiple woodland properties)	53.27885	-0.03159	0	0	0	0	100	80		20		100		East Midlands
1217	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	50.93563	0.01648	90			10		100				100		South East
1220	Woodland owner: I own land containing woodland (a single woodland property)	50.86301	-3.22289	50	50				80	20		100			South West
1222	Woodland owner: I own land containing woodland (a single woodland property)	51.56288	-2.51984	0	0	0	50	50	100			70	30		South West
1226	Professional: I have a professional or personal interest in forests and forestry in the UK	55.95206	-3.19648											Other	Scotland
1228	Professional: I have a professional or personal interest in forests and forestry in the UK	52.09613	-4.07661											NGO/community organization	Wales
1230	Woodland owner: I own land containing woodland (a single woodland property)	51.75514	-4.07627	40			50	10	100			90	10		Wales
1232	Woodland owner: I own land containing woodland (a single woodland property)	52.61509	1.12013	100					90			50			East of England
1233	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	52.62949	-0.88041	50			50		100			10	90	Forest industry	East Midlands
1235	Woodland owner: I own land containing woodland (a single woodland property)	51.65455	-0.87875	100					99	1		95	5		South East
1236	Woodland owner: I own land containing woodland (a single woodland property)	54.17148	-2.66968	30	10		30	30	40	40	20	40	60		North West
1237	Woodland owner: I own land containing woodland (multiple woodland properties)	56.5479	-4.02992	5	2		2	91	5	45	40	87	13		Scotland
1238	Tenant: I lease land containing woodland (a single woodland property or multiple woodland properties)	51.17771	-3.26157	60	40				100			60	40		South West
1239	Woodland owner: I own land containing woodland (multiple woodland properties)	52.62795	-2.48465	60				40	60	0	40	60	40		West Midlands
1240	Professional: I have a professional or personal interest in forests and forestry in the UK	54.42834	-1.72559											Other	Yorkshire and The Humber
1241	Professional: I have a professional or personal interest in forests and forestry in the UK	51.00528	-2.19333											Forest industry	South West
1242	Woodland owner: I own land containing woodland (a single woodland property)	50.98425	-3.03864	25				75	100			75	25		South West
1244	Woodland owner: I own land containing woodland (a single woodland property)	50.94011	-3.52309	10	10	10	10	60	30		70	80	20		South West
1245	Woodland owner: I own land containing woodland (a single woodland property)	52.14703	-2.19666	2	0			98	80	20		95	5		West Midlands
1246	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	52.13212	0.2096				20	80			100	80	20		East of England
1247	Woodland owner: I own land containing woodland (a single woodland property)	53.24385	-2.65195	100							100	85	15		North West
1248	Woodland owner: I own land containing woodland (a single woodland property)	52.21661	-0.67497	0	0	0	100	0	100			100			East Midlands
1249	Woodland owner: I own land containing woodland (a single woodland property)	53.22762	-3.1778	80	10	5		5	80	10	10	50	50		Wales
1250	Woodland owner: I own land containing woodland (a single woodland property)	51.22383	-0.33714		70		20	10	90	10		80	20		South East
1251	Woodland owner: I own land containing woodland (a single woodland property)	52.71442	1.01692	100					100				100		East of England
1252	Woodland owner: I own land containing woodland (a single woodland property)	52.22028	1.26575	20			20	60	100	0	0	80	20		East of England
1258	Professional: I have a professional or personal interest in forests and forestry in the UK	52.07613	1.35544											Forest industry	East of England
1259	Woodland owner: I own land containing woodland (a single woodland property)	50.34546	-3.91113	90	0	0	10	0	100				100		South West
1261	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	53.13829	-3.24852	50	40		10		65	35		35	65		Wales
1265	Woodland owner: I own land containing woodland (a single woodland property)	51.11115	-1.50616					100	99			99			South East
1271	Professional: I have a professional or personal interest in forests and forestry in the UK	50.70516	-4.03198											Public sector - central/devolved government	South West
1279	Woodland owner: I own land containing woodland (multiple woodland properties)	55.13421	-1.95222	10				90	48	2	50	90	10		North East
1281	Woodland owner: I own land containing woodland (a single woodland property)	54.8174	-4.19849				10	90	20	60	20	80	20		Scotland
1284	Woodland owner: I own land containing woodland (multiple woodland properties)	52.6605	-0.76389				20	80	100			80	20		East Midlands
1285	Woodland owner: I own land containing woodland (a single woodland property)	51.6868	-2.81788	10			10	80	100	0		80	20		Wales
1289	Woodland owner: I own land containing woodland (a single woodland property)	51.11954	0.2141				40	60	30	60	10	80	20		South East
1296	Woodland owner: I own land containing woodland (multiple woodland properties)	51.66183	-2.11075	5				95			100	10	90		South West
1298	Woodland owner: I own land containing woodland (a single woodland property)	51.20688	0.81985	70				30	100			30	70		South East
1299	Woodland owner: I own land containing woodland (multiple woodland properties)	54.40596	-1.77668	80	20				95	5		80	20		Yorkshire and The Humber
1303	Professional: I have a professional or personal interest in forests and forestry in the UK	57.47908	-4.22398											Public sector - central/devolved government	Scotland
1304	Woodland owner: I own land containing woodland (a single woodland property)	50.98507	-1.29364	100					100			50	50		South East
1310	Woodland owner: I own land containing woodland (a single woodland property)	52.48278	-3.14209	0	0	0	50	50	95	5		80	20		West Midlands
1313	Professional: I have a professional or personal interest in forests and forestry in the UK	51.8914	-1.38591											Forest industry	South East
1314	Professional: I have a professional or personal interest in forests and forestry in the UK	53.79019	-2.24246											Public sector - local government	North West
1316	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	53.25471	-1.72777					100	100			80	20	No professional involvement in forestry (personal interest)	East Midlands
1319	Professional: I have a professional or personal interest in forests and forestry in the UK	52.64525	-3.23891											Forest industry	Wales
1320	Woodland owner: I own land containing woodland (a single woodland property)	50.7403	-3.78359	44				56	99		1	100			South West
1321	Professional: I have a professional or personal interest in forests and forestry in the UK	51.24301	-0.2005											No professional involvement in forestry (personal interest)	South East
1324	Woodland owner: I own land containing woodland (multiple woodland properties)	55.58858	-2.25366	0	0	0	30	70	30	30	40	30	70		North East
1325	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	51.41709	-0.76389	90	0	2	8	0	99	1		98	2	Public sector - local government	South East
1326	Professional: I have a professional or personal interest in forests and forestry in the UK	52.63708	1.26804											Public sector - local government	East of England
1328	Woodland owner: I own land containing woodland (a single woodland property)	55.99662	-4.69624	80	10				100				100		Scotland
1330	Woodland owner: I own land containing woodland (a single woodland property)	52.32069	-1.38544	30	30		10	30	100			30	70		West Midlands
1333	Woodland owner: I own land containing woodland (a single woodland property)	51.10431	0.27612	0	100	0	0	0			100	80	20		South East
1334	"Business: Wood-processing sector (e.g. haulier, sawmill, wood user)"	52.43937	1.36951												East of England
1336	Woodland owner: I own land containing woodland (multiple woodland properties)	55.60388	-1.89617					80	10	70	20	70	30		North East
1337	Woodland owner: I own land containing woodland (a single woodland property)	57.87668	-4.14803				10		5	85		90	10		Scotland
1338	Woodland owner: I own land containing woodland (a single woodland property)	50.86058	-4.51761	100					100			20	80		South West
1339	Professional: I have a professional or personal interest in forests and forestry in the UK	51.51216	-1.09039											Forest industry	South East
1340	Woodland owner: I own land containing woodland (multiple woodland properties)	51.00166	-0.60287		90	10			60	20	20				South East
1341	Woodland owner: I own land containing woodland (a single woodland property)	50.93677	-1.83641	60			40		100			75	25		South East
1346	Woodland owner: I own land containing woodland (a single woodland property)	54.68574	-3.2341	92	8				89	8	3	28	72		North West
1347	Woodland owner: I own land containing woodland (a single woodland property)	52.20114	-1.20729					100	95	5		95			East Midlands
1348	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	51.8586	-2.41038	100					100			25	75		South West
1349	Woodland owner: I own land containing woodland (a single woodland property)	52.89014	-1.12859	100					100			75	25		East Midlands
1350	Woodland owner: I own land containing woodland (multiple woodland properties)	51.66696	-0.48117	5	40	10		45	100			40	60		East of England
1351	Woodland owner: I own land containing woodland (a single woodland property)	50.73989	-1.57564	50				50	90	10		50	50		South East
1354	Woodland owner: I own land containing woodland (a single woodland property)	53.16982	-4.08539					100	97	3		100			Wales
1355	Woodland owner: I own land containing woodland (multiple woodland properties)	50.91537	0.56717	40	20			40	100			30	70		South East
1356	Professional: I have a professional or personal interest in forests and forestry in the UK	51.85552	-4.30535											No professional involvement in forestry (personal interest)	Wales
1357	Woodland owner: I own land containing woodland (a single woodland property)	51.80922	0.78544	90			10		100			90	10		East of England
1359	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	53.00926	-2.85782	0	0	0	0	100	98	2	0	95	5	Other	Wales
1360	Woodland owner: I own land containing woodland (a single woodland property)	54.19955	-2.9106	90					75			90	10		North West
1362	Professional: I have a professional or personal interest in forests and forestry in the UK	50.75731	-3.99902											Public sector - central/devolved government	South West
1365	Professional: I have a professional or personal interest in forests and forestry in the UK	51.8714	0.16754											Forest industry	East of England
1367	Professional: I have a professional or personal interest in forests and forestry in the UK	52.47085	-0.90994											NGO/community organization	East Midlands
1369	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	51.7033	-2.97824	100					100			80	20		Wales
1371	Woodland owner: I own land containing woodland (multiple woodland properties)	51.48474	-2.20465				100		100				100		South West
1372	Woodland owner: I own land containing woodland (a single woodland property)	53.17054	-0.58792	0	0	0	0	100	100	0	0	100	0		East Midlands
1373	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	54.68052	-2.83396	30			60	10	90	10		80	20		North West
1376	Woodland owner: I own land containing woodland (multiple woodland properties)	51.50874	-1.49414	75		25			100			50	50		South East
1377	Woodland owner: I own land containing woodland (multiple woodland properties)	52.27135	-3.33929	8	48	8	10	25	20	30	50	80	20		Wales
1380	Woodland owner: I own land containing woodland (multiple woodland properties)	54.72323	-1.39612		90	10			10	90		70	30		North East
1381	Woodland owner: I own land containing woodland (multiple woodland properties)	55.63247	-2.84037	5	10	0	10	75	10	0	0	90	10		Scotland
1382	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	51.07894	0.44117	100					100			100			South East
1385	Woodland owner: I own land containing woodland (a single woodland property)	52.03729	1.23596				100		99	1		40	60		East of England
1386	Woodland owner: I own land containing woodland (multiple woodland properties)	51.69018	-2.72049					11.33	60	40		30	70		Wales
1387	Professional: I have a professional or personal interest in forests and forestry in the UK	55.95381	-3.59665											Public sector - local government	Scotland
1388	Woodland owner: I own land containing woodland (a single woodland property)	50.59862	-4.08475	100					100			80	20		South West
1389	Woodland owner: I own land containing woodland (multiple woodland properties)	52.18208	-4.13275	100					80	20		50	50		Wales
1391	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	52.12695	-0.69063	100					100			10	90		South East
1395	Woodland owner: I own land containing woodland (a single woodland property)	51.01527	-0.00936	100	0	0	0	0	100	0	0	95	5		South East
1396	Woodland owner: I own land containing woodland (a single woodland property)	51.48143	-2.27658					100	100			100			South West
1397	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	50.16568	-5.05817	5			45	50	100			50	50		South West
1398	Woodland owner: I own land containing woodland (multiple woodland properties)	53.47842	-1.3301	10	70		20		100			70	30		Yorkshire and The Humber
1400	Woodland owner: I own land containing woodland (a single woodland property)	50.69956	-1.50418	100					100			100			South East
1402	Professional: I have a professional or personal interest in forests and forestry in the UK	51.27235	-0.44286											Forest industry	South East
1403	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	54.18084	-2.76965	10			90		80		20		100	Other	North West
1404	Woodland owner: I own land containing woodland (multiple woodland properties)	56.89453	-4.82368				1			99		7			Scotland
1405	Woodland owner: I own land containing woodland (a single woodland property)	50.98737	0.10862	55	45				45	35	20	85	15		South East
1406	Professional: I have a professional or personal interest in forests and forestry in the UK	53.14293	-4.15403											Forest industry	Wales
1407	Professional: I have a professional or personal interest in forests and forestry in the UK	50.84931	-1.94595											Forest industry	South West
1408	Woodland owner: I own land containing woodland (a single woodland property)	51.75424	-0.57129	63			37		100			20	80		East of England
1409	Woodland owner: I own land containing woodland (a single woodland property)	54.73929	-1.70752					100	5	95		100			North East
1410	Professional: I have a professional or personal interest in forests and forestry in the UK	50.97198	-0.49126											Other	South East
1412	Woodland owner: I own land containing woodland (a single woodland property)	52.4397	-3.48953	64		11		25	75	25		100			Wales
