study	country of data collection	LatDD	LonDD	Year of publication	coastal (coastal = up to 10km from coast or large lake)	elevation	rainfall (mm)	rural-urban	forest (type) accessed?	distance to forest	market access	forest tenure	"Scale of study: local, regional or national, int'l"	study sites (total number of sites included in analysis)	sample size at each study site(eg number of interviews or focus groups)	"sample unit (person, household, focus group)"	Length of data collection (months)	Qualitative or quantiative	method	is food security assessed	is nutrition security assessed	is income assessed	food security outcome through engagement in:	main ntfp assessed	gender	Effect of Gender	short interpretation of effect
"Tadesse, G., E. Zavaleta, C. Shennan and M. FitzSimmons (2014). Local Ecosystem Service Use and Assessment Vary with Socio-ecological Conditions: A Case of Native Coffee-Forests in Southwestern Ethiopia. Human Ecology 42(6): 873-883."	Ethiopia	7.2033054	35.3535506	2014	no	NR	NR	rural	natural	adjacent to forest	low (no road or market far)	state	multiple sites nearby	2	105	household	36	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"mix - women get more money from medicinal plants, men get more money from timber"
"Tadesse, G., E. Zavaleta, C. Shennan and M. FitzSimmons (2014). Local Ecosystem Service Use and Assessment Vary with Socio-ecological Conditions: A Case of Native Coffee-Forests in Southwestern Ethiopia. Human Ecology 42(6): 873-883."	Ethiopia	6.7589693	35.8826213	2014	no	NR	NR	rural	natural	adjacent to forest	low (no road or market far)	state	multiple sites nearby	2	105	household	36	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"mix - women get more money from medicinal plants, men get more money from timber"
"Toksoy, D. and S. Alkan (2010). Labor force participation of women in forest villages and their income status: A case study of Trabzon. African Journal of Agricultural Research 5(9): 910-915."	Turkey	40.8103749	39.5346716	2010	no	mid-high	NR	rural	natural	adjacent to forest	very low (no road and market far)	state	multiple sites nearby	68	619	household	NR	quantitative	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"mix - women get more money from medicinal plants, men get more money from timber"
"Uberhuaga, P., C. Smith-Hall and F. Helles (2012). Forest income and dependency in lowland Bolivia. Environment, Development and Sustainability 14(1): 3-23."	Bolivia	-17.3939741	-66.198895	2012	no	mid-high	5573	rural	natural	adjacent to forest	low (no road or market far)	state	multiple sites nearby	6	118	household	12	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"mix - women get more money from medicinal plants, men get more money from timber"
"Uzokwe, U. N. (2014). Forest dependent survival strategies of rural women in Aniocha South local government area of delta state, Nigeria. Middle - East Journal of Scientific Research 20(1): 14-19."	Nigeria	6.1456965	6.3420839	2014	no	low-mid	NR	rural	natural	adjacent to forest	low (no road or market far)	NR	multiple sites nearby	10	150	individuals	NR	quantitative	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Positive	strong positive
"van Dijk, H., N. A. Onguene and T. W. Kuyper (2003). Knowledge and utilization of edible mushrooms by local populations of the rain forest of south Cameroon. Ambio 32(1): 19-23."	Cameroon	3.127737	10.5871602	2003	no	low-mid	1500-2500	rural	natural	adjacent to forest	low (no road or market far)	NR	multiple sites nearby	4	245	individuals	12	mixed methods	quantitative questionnaire	yes	yes	yes	harvesting	wild food	gender of household head	Positive	strong positive
"van Dijk, H., N. A. Onguene and T. W. Kuyper (2003). Knowledge and utilization of edible mushrooms by local populations of the rain forest of south Cameroon. Ambio 32(1): 19-23."	Cameroon	3.2833543	11.0412452	2003	no	low-mid	1500-2500	rural	natural	adjacent to forest	low (no road or market far)	NR	multiple sites nearby	4	245	individuals	12	mixed methods	quantitative questionnaire	yes	yes	yes	harvesting	wild food	gender of household head	Positive	strong positive
"van Dijk, H., N. A. Onguene and T. W. Kuyper (2003). Knowledge and utilization of edible mushrooms by local populations of the rain forest of south Cameroon. Ambio 32(1): 19-23."	Cameroon	2.9833543	10.3365156	2003	no	low-mid	1500-2500	rural	natural	adjacent to forest	low (no road or market far)	NR	multiple sites nearby	4	245	individuals	12	mixed methods	quantitative questionnaire	yes	yes	yes	harvesting	wild food	gender of household head	Positive	strong positive
"Van Hoang, S., P. Baas and P. J. A. Keßler (2008). Uses and conservation of plant species in a national park - A case study of Ben En, Vietnam. Economic Botany 62(4): 574-593."	Vietnam	19.6181566	105.5268644	2008	no	low-mid	NR	rural	natural	adjacent to forest	low (no road or market far)	NR	multiple sites nearby	3	60	individuals	6	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"mix - women get more money from medicinal plants, men get more money from timber"
"Vazquez-Garcia, V. (2008). Gender, Ethnicity, and Economic Status in Plant Management: Uncultivated Edible Plants among the Nahuas and Popolucas of Veracruz, Mexico. Agriculture and Human Values 25(1): 65-77."	Mexico	18.0133531	-94.8787779	2008	yes	70-1200	NR	rural	natural	adjacent to forest	low (no road or market far)	state	multiple sites nearby	2	53	household	12	mixed methods	mix	yes	yes	yes	mix	mix	gender of household head	Positive	"Ethnic affiliation, economic status, and gender ideology influence women's access patterns to uncultivated plants, with Nahua women being more visible in plant management given their roles in income-generating activities outside their households"
"Vazquez-Garcia, V. (2008). Gender, Ethnicity, and Economic Status in Plant Management: Uncultivated Edible Plants among the Nahuas and Popolucas of Veracruz, Mexico. Agriculture and Human Values 25(1): 65-77."	Mexico	18.2576227	-94.9121404	2008	yes	70-1200	NR	rural	natural	adjacent to forest	low (no road or market far)	state	multiple sites nearby	2	53	household	12	mixed methods	mix	yes	yes	yes	mix	mix	gender of household head	Positive	"Ethnic affiliation, economic status, and gender ideology influence women's access patterns to uncultivated plants, with Nahua women being more visible in plant management given their roles in income-generating activities outside their households"
"Velasquez Runk, J., G. Ortiz Negria, W. Quintero Garcia and C. Quiroz Ismare (2007). Political Economic History, Culture, and Wounaan Livelihood Diversity in Eastern Panama. Agriculture and Human Values 24(1): 93-106."	Panama	8.1604118	-78.4037576	2007	no	NR	2000-2500	rural	natural	adjacent to forest	low (no road or market far)	state	multiple sites nearby	2	132	household	12	quantitative	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"The use of NTFP’s is quite gendered, with women weaving baskets and men making carvings"
"Wickramasinghe, A. (1997). Anthropogenic factors and forest management in Sri Lanka. Applied Geography 17(2): 87-110."	Sri Lanka	8.1091877	80.6459674	1997	no	mid-high	1483	rural	natural	adjacent to forest	low (no road or market far)	state	multiple sites nearby	4	60	household	7	mixed methods	mix	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"mix-with regard to forest products of primary household use, decisions are largely made by women, whereas in the extraction of market products they are mainly helpers. This explains why women’s groups are formed to walk into the forest to gather fuelwood, wild leaves and medicinal products, while groups led by men gather market products."
"Wickramasinghe, A., M. R. Pérez and J. M. Blockhus (1996). Nontimber forest product gathering in ritigala forest (Sri Lanka): Household strategies and community differentiation. Human Ecology 24(4): 493-519."	Sri Lanka	8.1091877	80.6459674	1996	no	mid-high	NR	rural	natural	adjacent to forest	low (no road or market far)	NR	multiple sites nearby	2	48	household	3	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"Mix-There is a strong gender specialization, with commercial gathering dominated by men whereas subsistence gathering is almost exclusively the task of women"
"Viet Quang, D. and T. Nam Anh (2006). Commercial collection of NTFPs and households living in or near the forests. Case study in Que, Con Cuong and Ma, Tuong Duong, Nghe An, Vietnam. Ecological Economics 60(1): 65-74."	Vietnam	9.3197826	104.3138375	2006	no	mid-high	NR	rural	natural	adjacent to forest	low (no road or market far)	NR	multiple sites nearby	2	55	household	NR	quantitative	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"Mix-An important finding in this model is the female labor rate, which is calculated by the rate of female labor and total family labor. This variable positively correlates to the share of income generated by selling NTFPs at a significance level of 95%. It suggests that the households with higher rates of female labor will depend more on NTFPs than others in the same location except the case of households without male labor.3 This result is very important because, following other research, it continues to emphasize the role of women in NTFP trading and collection (Belcher and Kusters, 2004)."
"Viet Quang, D. and T. Nam Anh (2006). Commercial collection of NTFPs and households living in or near the forests. Case study in Que, Con Cuong and Ma, Tuong Duong, Nghe An, Vietnam. Ecological Economics 60(1): 65-74."	Vietnam	19.0531077	104.6494844	2006	no	mid-high	NR	rural	natural	adjacent to forest	low (no road or market far)	NR	multiple sites nearby	2	55	household	NR	quantitative	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"Mix-An important finding in this model is the female labor rate, which is calculated by the rate of female labor and total family labor. This variable positively correlates to the share of income generated by selling NTFPs at a significance level of 95%. It suggests that the households with higher rates of female labor will depend more on NTFPs than others in the same location except the case of households without male labor.3 This result is very important because, following other research, it continues to emphasize the role of women in NTFP trading and collection (Belcher and Kusters, 2004)."
"Vodouhe, F. G., A. Adegbidi, O. Coulibaly and B. Sinsin (2011). Parkia biglobosa (Jacq.) R. Br. ex Benth. harvesting as a tool for conservation and source of income for local people in Pendjari Biosphere Reserve. Acta Botanica Gallica 158(4): 595-608."	Benin	11.1593029	0.3262654	2011	no	150-200	1000	rural	natural	adjacent to forest	low (no road or market far)	state	multiple sites nearby	5	124	household	1	mixed methods	mix	yes	yes	yes	mix	wild food	gender of household head	Neutral/Mixed	"mix-as in many other developing countries (Ellis, 2000; Osemeobo, 2005; Kamanga et al., 2009), our result revealed that households headed by female tended to be poor. These women were either widows or too old with limited access to land. Most of their income source come from gifts and harvesting NTFPs such as P. biglobosa products"
"Vodouhe, F. G., O. Coulibaly, C. Greene and B. Sinsin (2009). Estimating the Local Value of Non-Timber Forest Products to Pendjari Biosphere Reserve Dwellers in Benin. Economic Botany 63(4): 397-412."	Benin	11.1593029	0.3262654	2009	no	150-201	1000	rural	natural	adjacent to forest	low (no road or market far)	NR	multiple sites nearby	4	185	household	6	mixed methods	mix	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"mix-these results suggest that women have at least as much diversity of knowledge as men.
They also show that women are important NTFP stakeholders and merit equal consideration in terms of biodiversity conservation in the reserve.
"
"Wong, G. Y. and R. Godoy (2003). Consumption and vulnerability among foragers and horticulturalists in the rainforest of Honduras. World Development 31(8): 1405-1419."	Honduras	12.1328876	-84.1460853	2003	no	NR	NR	rural	natural	adjacent to forest	low (no road or market far)	state	multiple sites nearby	2	32	household	30	mixed methods	mix	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	none (no difference between access of men and women for food security)
"Worku, A., M. Lemenih, M. Fetene and D. Teketay (2011). SOCIO-ECONOMIC IMPORTANCE OF GUM AND RESIN RESOURCES IN THE DRY WOODLANDS OF BORANA, SOUTHERN ETHIOPIA. Forests, Trees and Livelihoods 20(2-3): 137-156."	Ethiopia	4.7214505	38.7563323	2011	no	low	400-600	rural	natural	adjacent to forest	low (no road or market far)	NR	multiple sites nearby	4	80	household	NR	mixed methods	mix	yes	yes	yes	mix	mix	gender of household head	Positive	strong positive-collection and sale of gums and resins is also reported as the sole means of getting cash for women and school children since they are not allowed to sale cattle or other agricultural products
"Worku, A., M. Lemenih, M. Fetene and D. Teketay (2011). SOCIO-ECONOMIC IMPORTANCE OF GUM AND RESIN RESOURCES IN THE DRY WOODLANDS OF BORANA, SOUTHERN ETHIOPIA. Forests, Trees and Livelihoods 20(2-3): 137-156."	Ethiopia	4.893406	38.099513	2011	no	low	400-600	rural	natural	adjacent to forest	low (no road or market far)	NR	multiple sites nearby	4	80	household	NR	mixed methods	mix	yes	yes	yes	mix	mix	gender of household head	Positive	strong positive-collection and sale of gums and resins is also reported as the sole means of getting cash for women and school children since they are not allowed to sale cattle or other agricultural products
"Worku, A., J. Pretzsch, H. Kassa and E. Auch (2014). The significance of dry forest income for livelihood resilience: The case of the pastoralists and agro-pastoralists in the drylands of southeastern Ethiopia. Forest Policy and Economics 41: 51-59."	Ethiopia	11.6936756	36.9388942	2014	no	low	150-600	rural	natural	adjacent to forest	low (no road or market far)	NR	multiple sites nearby	6	137	household	NR	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"strong negative (access of men is more important than of women for food security) -Despite the difference in the quantity and frequency of dry forest product collection, both female and male headed households reported to earn income from forests. However, female headed households generated less total income from dry forests compared to male headed households. In Liben, the average total dry forest income (cash and subsistence) was Birr 2000 ± 273.81 for female headed households, and 3676 ± 1939.34 for male headed households and the variation was statistically significant (P b 0.05). Similarly, in Afdher Zone, the average total dry forest income for female headed households was less (Birr 2451 ± 1487) than those of male headed households (Birr 3496 ± 1874), although the difference was not statistically significant. This was contrary to the findings of Asfaw et al. (2013) where forest income of female headed households was much higher. But these communities lived close to markets and did not need means of transport to transport forest products. The purpose of dry forest product collection for cash was more among female headed households than male headed households. About 31% and 32% of the total income of female headed households in Liben and Afdher, respectively, came from dry forests, whereas the share of dry forest income was 34.4% and 35.6% for the two zones, respectively. Female headed households emphasized that for them dry forest income was the fastest, most accessible and relatively stable income source. For them livestock production was becoming very challenging, as it required frequent and distant migrations in search of fodder and water. They generally see crop production as labor, knowledge and cash-intensive, and often men's job, resulting in farming being less attractive to them. The key informants revealed that, despite their lack of involvement in dry forest management discourses, women's participation in forest product collection and marketing is growing."
"Worku, A., J. Pretzsch, H. Kassa and E. Auch (2014). The significance of dry forest income for livelihood resilience: The case of the pastoralists and agro-pastoralists in the drylands of southeastern Ethiopia. Forest Policy and Economics 41: 51-59."	Ethiopia	4.5697696	41.9192049	2014	no	low	150-600	rural	natural	adjacent to forest	low (no road or market far)	NR	multiple sites nearby	6	137	household	NR	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"strong negative (access of men is more important than of women for food security) -Despite the difference in the quantity and frequency of dry forest product collection, both female and male headed households reported to earn income from forests. However, female headed households generated less total income from dry forests compared to male headed households. In Liben, the average total dry forest income (cash and subsistence) was Birr 2000 ± 273.81 for female headed households, and 3676 ± 1939.34 for male headed households and the variation was statistically significant (P b 0.05). Similarly, in Afdher Zone, the average total dry forest income for female headed households was less (Birr 2451 ± 1487) than those of male headed households (Birr 3496 ± 1874), although the difference was not statistically significant. This was contrary to the findings of Asfaw et al. (2013) where forest income of female headed households was much higher. But these communities lived close to markets and did not need means of transport to transport forest products. The purpose of dry forest product collection for cash was more among female headed households than male headed households. About 31% and 32% of the total income of female headed households in Liben and Afdher, respectively, came from dry forests, whereas the share of dry forest income was 34.4% and 35.6% for the two zones, respectively. Female headed households emphasized that for them dry forest income was the fastest, most accessible and relatively stable income source. For them livestock production was becoming very challenging, as it required frequent and distant migrations in search of fodder and water. They generally see crop production as labor, knowledge and cash-intensive, and often men's job, resulting in farming being less attractive to them. The key informants revealed that, despite their lack of involvement in dry forest management discourses, women's participation in forest product collection and marketing is growing."
"Yasuoka, H. (2006). Long-term foraging expeditions (Molongo) among the baka hunter-gatherers in the northwestern Congo Basin, with special reference to the wild yam question. Human Ecology 34(2): 275-296."	Cameroon	2.9015636	13.8604116	2006	no	400-600	200	rural	natural	adjacent to forest	low (no road or market far)	NR	single site	1	NR	individuals	23	mixed methods	mix	yes	yes	yes	mix	mix	"men-women, ie not gender of household head"	Neutral/Mixed	"mix - women get more money from medicinal plants, men get more money from timber-Men searched for honey or hunted with spears on the other days. The women went out digging for wild yams every two or three days, sometimes accompanied by their husbands"
"Yusuf, M., Z. Teklehaimanot and M. Rayment (2013). Traditional knowledge and practices on utilisation and marketing of Yeheb (Cordeauxia edulis) in Ethiopia. Agroforestry Systems 87(3): 599-609."	Ethiopia	7.3611367	44.3674441	2013	no	NR	NR	rural	natural	adjacent to forest	low (no road or market far)	NR	multiple sites nearby	10	182	household	30	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Positive	"strong positive-It is generally women and children who benefit from the consumption of Yeheb nuts, and if there is a surplus, it is the women who sell Yeheb nuts in the local market as a source of cash income (Yahya 2004). Respondents reported that women played a vital role in almost all activities involving Yeheb nuts including harvesting, processing, storing, cooking and marketing of the nut."
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
