Study ID	Citation	Year published	Year conducted (final year)	Scope	Location name	Country	"LatDD,LonDD"	Woodfuel assessed	Comparator	Comparator (specify)	Forest type  	Specific ecosystem type (author defined)	Natural/planted	"If natural forest, existing forest condition"	Forest size (include units)	Primary source of woodfuel used for domestic consumption	Primary source of woodfuel used for commercial purposes	Activity assessed	List if multiple  activities	Presence of woodfuel policy change	"Presence of alternative technologies i.e.  kilns and
cookstoves"	Short description of policy change and/or alt. technologies OR relevant policy changes known to you that are not mentioned in the paper (please add ** if it is your info and not from the paper)	Target of policy and/or alternative technologies 	"If multiple targets, specify using the same terminology under column W"	"Time elapsed since policy change, introduction of alternative technologies, or initiation of wood energy activity (years)"	Enforcement of rules governing woodfuel activities 	"Presence of other regulations on trade, energy, or environment"	Short description of other regulations on trade/ energy/ environment	"Tenure Regime type"	Tenure - Mixed (specify)	"Tenure - Formal protected area? (i.e. national park, biosphere reserve, etc.)"	Population density (pp/km2 or pp/ha)	"Recent population change in study area, including migration"	Poverty /food insecurity of majority (>50%)	Main source of income for majority (>50%) of population	"Distance to nearest market /urban center (if within urban area, select <10km)"	"Demand for woodfuel 
(local and external)"	Purpose of woodfuel use	"Other contributing factors affecting reported outcomes (i.e. agricultural expansion, livestock grazing, gender-based differences etc.)"	Study outcomes	Source of socioeconomic data	Source of socioeconomic data (specify methods)	Income	Employment	Assets	Equity	Costs	Profit	Other indicators used	Source of health data	Source of health data (specify methods)	Indoor pollution	Ilness	Other  health indicators used	Source of environmental data	Source of environmental data (specify methods)	"Forest cover (natural or planted), including above-ground biomass"	"Forest condition, including forest structure"	Biodiversity	C stocks	GHG emissions	Soil quality	Water quality
462	"Nkamleu B, Endamana D, Gockowski J, Ndoye O, Sunderlin W. Economic analysis of fuelwood consumption in forest zones as exemplified in Cameroonian urban areas. Secheresse 2002; 13: 81-86"	2002	1996	Plot/sample site(s)	 Yaoundé	Cameroon	"3.8304736,11.4404133"	both	Multiple case studies	Cities compared for use and econometric analysis	Forests	NR	Natural	slightly degraded		NR	NR	consumption		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	No	na	Increase/inward	NR	NR	< 10 km	NR	mostly domestic use		socioeconomic	direct/proxy measurements	HH surveys	NR	NR	NR	NR	Increase/More than comparator	NR	Expenditure on woodfuel	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
468	Odihi J. Deforestation in afforestation priority zone in Sudano-Sahelian Nigeria. Applied Geography. 2003; 23: 227–259	2003	2000	Province/region	Borno State	Nigeria	"11.8686183,10.8635266"	firewood	Multiple case studies	eight local government areas (LGA) in Yobe State and three in Borno	Forests	NR	Natural	NR	NR	Mix of deadwood and living trees	NR	multiple or other (specify)	"harvesting, trade/marketing, consumption "	NR	NR	NR	NR	NR	NR	NR	multiple	"trade: the ban on importation and/or the withdrawal ofsubsidies on wheat and malt, and the emphasis on local sourcing ofthese raw materials for industries and the premium price, which they commanded, encouraged agricultural expansion in the dry belt.
environmental: Afforestation programmes, tree planting campaigns and establishments of shelter belts are embarked upon on a more or less annual basis at the state; bans on tree cutting and bush burning from 1986"	NR	NR	NR	NR	Increase/inward	NR	NR	NR	high local - high external	domestic and commercial use	"total stoppage of kerosene and gas supplies during nationwide strikes in 1994 led to overexploitation of forests during this 1994-1996; diseases affecting trees led to intensive campaign to destroy affected trees; frequent and intense drought led to further pressure on forest resources in terms of natural death, increased forest burning, and easier access to dry woodfuel; urban expansion in Maiduguri in the 1970s led to widespread deforestation around the area; area. Illegal cutting oftrees was a serious problem in
the study area especially in Gujba Local Government Area with the offenders operating during late night hours and carting away products to the Kano area; Alternative energy in the form of kerosene and cooking gas (liquefied natural gas) were not readily available or affordable; The Gorgoram area forest exploitation had an additional reason. Many members of the Gorgoram community had been made redundant by lack ofwat er and flooding so that they could no longer operate as commercial fishermen; Recent government policies and socioeconomic conditions have favoured agricultural expansion "	environmental	direct/proxy measurements	Household surveys 	NR	Increase/More than comparator	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	respondent perceptions/recall	household surveys	Decrease/Less than comparator	NR	NR	NR	NR	NR	NR
470	"Oduori SM, Rembold F, Abdulle OH, Vargas R. Assessment of charcoal driven deforestation rates in a fragile rangeland environment in North Eastern Somalia using very high resolution imagery. Journal of Arid Environments 2011; 75: 1173–1181"	2011	2009	Plot/sample site(s)	the Sool-Sanag Plateau in Northern Somalia	Somalia	"9.6648876,46.8686956"	charcoal	Time series	Two series of high-resolution satellite images (2001 and 2006)	Shrubs	Tiger bush ecosystem	Natural	slightly degraded	The study area covers approximately 1929.5 km2	Living trees 	Living trees 	harvesting		NR	absent	NR	NR	NR	NR	NR	NR	NR	NR	NR	No	na	NR	below poverty line / food insecure	NR	NR	high local - high external	domestic and commercial use	War zone	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	Remore sensing and field assessment	Decrease/Less than comparator	Decrease/Less than comparator	NR	NR	NR	NR	NR
468	Odihi J. Deforestation in afforestation priority zone in Sudano-Sahelian Nigeria. Applied Geography. 2003; 23: 227–259	2003	2000	Province/region	Yobe State	Nigeria	"11.9746498,9.9614383"	firewood	Multiple case studies	eight local government areas (LGA) in Yobe State and three in Borno	Forests	NR	Natural	NR	NR	Mix of deadwood and living trees	NR	multiple or other (specify)	"harvesting, trade/marketing, consumption "	NR	NR	NR	NR	NR	NR	NR	multiple	"trade: the ban on importation and/or the withdrawal ofsubsidies on wheat and malt, and the emphasis on local sourcing ofthese raw materials for industries and the premium price, which they commanded, encouraged agricultural expansion in the dry belt.
environmental: Afforestation programmes, tree planting campaigns and establishments of shelter belts are embarked upon on a more or less annual basis at the state; bans on tree cutting and bush burning from 1986"	NR	NR	NR	NR	Increase/inward	NR	NR	NR	high local - high external	domestic and commercial use	"total stoppage of kerosene and gas supplies during nationwide strikes in 1994 led to overexploitation of forests during this 1994-1996; diseases affecting trees led to intensive campaign to destroy affected trees; frequent and intense drought led to further pressure on forest resources in terms of natural death, increased forest burning, and easier access to dry woodfuel; urban expansion in Maiduguri in the 1970s led to widespread deforestation around the area; area. Illegal cutting oftrees was a serious problem in
the study area especially in Gujba Local Government Area with the offenders operating during late night hours and carting away products to the Kano area; Alternative energy in the form of kerosene and cooking gas (liquefied natural gas) were not readily available or affordable; The Gorgoram area forest exploitation had an additional reason. Many members of the Gorgoram community had been made redundant by lack ofwat er and flooding so that they could no longer operate as commercial fishermen; Recent government policies and socioeconomic conditions have favoured agricultural expansion "	environmental	direct/proxy measurements	Household surveys 	NR	Increase/More than comparator	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	respondent perceptions/recall	household surveys	Decrease/Less than comparator	NR	NR	NR	NR	NR	NR
471	"Ogundele AT, Eludoyin OS, Oladapo OS. Assessment of impacts of charcoal production on soil properties in the derived savanna, Oyo state, Nigeria. Journal of Soil Science and Environmental Management 2011; 2: 142-146"	2011	NR	Plot/sample site(s)	Ibarapa East Local Government Area of Oyo State which lies between latitude 7° 25’ and 7° 45’ North and longitude 3° 15’ and 3° 35’ East	Nigeria	"7.5321738,3.425035"	charcoal	Control-Impact	Two plots of charcoal production sites (CPS) and the adjacent field sites (AFS) which serve as the control plots (plots of land that have not been subjected to charcoal production)	Savanna	guinea and derived savanna	Natural	NR	The total land area is about 838 km2	Living trees 	Living trees 	harvesting		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	No	"population of 118,226 according to 2006 population census"	NR	NR	NR	NR	NR	NR		environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	Soil samples in lab	NR	NR	NR	NR	NR	Mixed	NR
474	"Oguntoke O, Adebulehin AT, Annegarn HJ. Biomass Energy Utilisation, Air Quality and the Health of Rural Women and Children in Ido LGA, South-Western Nigeria. Indoor and Built Environment 2013; 22:528-534"	2012	2009	Plot/sample site(s)	Ido Local Government Area (LGA) with headquarters at Ido	Nigeria	"7.4499971,3.8680568"	charcoal	None (single case study)	No comparator	Forests	Abundant secondary forest (around villages)	Natural	NR	NR	Mix of deadwood and living trees	NR	consumption		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	No	"The population of Ido LGA during the 2006 census was 103,261 with about 150 settlements, which are divided into ten wards (smallest political unit) that cover a land area of 986km2."	NR	NR	NR	NR	high local	mostly domestic use		health	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	"GasmanTM auto-sampler (model ATEX4), a portable infrared digital air sampler was used to measure the concentration of carbon monoxide (CO), nitrogen dioxide (NO2) and hydrogen sulphide (H2S) in the houses selected for questionnaire interview."	Increase/More than comparator	Increase/More than comparator										
475	"Oguntunde PG, Abiodun BJ, Ajayi AE van de Giesen N. Effects of charcoal production on soil physical properties in Ghana. "	2008	NR	Plot/sample site(s)	"near Ejura town, a densely populated rural district approx. 90 km to the NE of Kumasi, Ghana"	Ghana	"7.3825764,-1.3682055"	charcoal	Control-Impact	"12 charcoal kiln sites were randomly selected for sampling purposes, with 12 controls 5-10m from kilns"	Mixed	Forest-savannah transition	Natural	NR	NR	NR	NR	processing		NR	present	Soils with and without kilns	NR	NR	NR	NR	NR	NR	NR	NR	No	na	NR	NR	NR	NR	NR	NR	NR	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR						direct/proxy measurements	Soil samples collected in sample and control	NR	NR	NR	NR	NR	Mixed	NR
485	Journal of Plant Nutrition and Soil Science  2008; 171: 591–596	2013	NR	Plot/sample site(s)	"Ibaka, Mbo Local Government Area of Akwa
Ibom State, Nigeria"	Nigeria	"4.647697,8.2903566"	firewood	Control-Impact	Children in fish-smoking area and (control) farms	NR	NR	NR	NR	NR	NR	NR	consumption		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	na	NR	NR	NR	NR	NR	NR	NR	health	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	"Anthropometric data (weight, height, sitting
height and chest circumference) were obtained
according to standard protocol. The body
surface area was calculated using the Dubois and
Dubois formula."	NR	Increase/More than comparator	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
488	"Oloyede IP, Ekrikpo UE, Ekanem EE. Lung Function Indices of Children Exposed to Wood Smoke in a Fishing Port in South-South Nigeria. Journal of Tropical Pediatrics 2013; 59: 399-402"	2013	NR	Plot/sample site(s)	"Three rural communities near Ibadan, Nigeria"	Nigeria	"4.647697,8.2903566"	both	Time series	Three villages but grouped in results	NR	NR	NR	NR	NR	NR	NR	consumption		NR	present	Measurements with improved stoves	NR	NR	NR	NR	NR	NR	NR	NR	NR	na	NR	NR	NR	NR	NR	NR	NR	health	NR	NR	NR	NR	NR	NR	NR	NR	NR	multiple (specify)	Direct measurements and perceptions	Increase/More than comparator	Increase/More than comparator	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
488	"Oloyede IP, Ekrikpo UE, Ekanem EE. Lung Function Indices of Children Exposed to Wood Smoke in a Fishing Port in South-South Nigeria. Journal of Tropical Pediatrics 2013; 59: 399-402"	2013	NR	Plot/sample site(s)	"Three rural communities near Ibadan, Nigeria"	Nigeria	"4.7500053,8.0966289"	both	Time series	Three villages but grouped in results	NR	NR	NR	NR	NR	NR	NR	consumption		NR	present	Measurements with improved stoves	NR	NR	NR	NR	NR	NR	NR	NR	NR	na	NR	NR	NR	NR	NR	NR	NR	health	NR	NR	NR	NR	NR	NR	NR	NR	NR	multiple (specify)	Direct measurements and perceptions	Increase/More than comparator	Increase/More than comparator	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
489	"Oluwole O, Arinola GO, Ana GR, Wiskel T, Huo D, Olopade OI, Olopade CO. Relationship between household air pollution from biomass smoke exposure, and pulmonary dysfunction, oxidant-antioxidant imbalance and systemic inflammation in rural women and children in Nigeria. Global journal of health science 2013; 5: 28-38"	2013	NR	Plot/sample site(s)	"three rural communities (Ajibade, Eruwa, and Olorisaoko) near Ibadan,"	Nigeria	"7.7330053,3.4528486"	firewood	None (single case study)	Samples from different stacks of firewood in different villages	NR	NR	NR	NR	NR	NR	NR	consumption		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	na	NR	NR	NR	NR	NR	NR	NR	multiple	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	Lab measurements	Increase/More than comparator		"Gas emissions levels of NO, NO2, SO2, CO, and CO2 from commonly used domestic fuel wood in Nigeria, as
well as the metal concentrations from their ashes, were investigated in this study. The observed gas levels when
compared to short term exposure limits indicate environmentally unfriendly nature of commonly used domestic
fuel wood"	direct/proxy measurements	Lab measurements of ashes	NR	NR	NR	NR	NR	Increase/More than comparator	NR
489	"Oluwole O, Arinola GO, Ana GR, Wiskel T, Huo D, Olopade OI, Olopade CO. Relationship between household air pollution from biomass smoke exposure, and pulmonary dysfunction, oxidant-antioxidant imbalance and systemic inflammation in rural women and children in Nigeria. Global journal of health science 2013; 5: 28-38"	2013	NR	Plot/sample site(s)	"three rural communities (Ajibade, Eruwa, and Olorisaoko) near Ibadan,"	Nigeria	"7.5352242,3.4171286"	firewood	None (single case study)	Samples from different stacks of firewood in different villages	NR	NR	NR	NR	NR	NR	NR	consumption		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	na	NR	NR	NR	NR	NR	NR	NR	multiple	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	Lab measurements	Increase/More than comparator		"Gas emissions levels of NO, NO2, SO2, CO, and CO2 from commonly used domestic fuel wood in Nigeria, as
well as the metal concentrations from their ashes, were investigated in this study. The observed gas levels when
compared to short term exposure limits indicate environmentally unfriendly nature of commonly used domestic
fuel wood"	direct/proxy measurements	Lab measurements of ashes	NR	NR	NR	NR	NR	Increase/More than comparator	NR
489	"Oluwole O, Arinola GO, Ana GR, Wiskel T, Huo D, Olopade OI, Olopade CO. Relationship between household air pollution from biomass smoke exposure, and pulmonary dysfunction, oxidant-antioxidant imbalance and systemic inflammation in rural women and children in Nigeria. Global journal of health science 2013; 5: 28-38"	2013	NR	Plot/sample site(s)	"three rural communities (Ajibade, Eruwa, and Olorisaoko) near Ibadan,"	Nigeria	"7.566688,3.8745782"	firewood	None (single case study)	Samples from different stacks of firewood in different villages	NR	NR	NR	NR	NR	NR	NR	consumption		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	na	NR	NR	NR	NR	NR	NR	NR	multiple	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	Lab measurements	Increase/More than comparator		"Gas emissions levels of NO, NO2, SO2, CO, and CO2 from commonly used domestic fuel wood in Nigeria, as
well as the metal concentrations from their ashes, were investigated in this study. The observed gas levels when
compared to short term exposure limits indicate environmentally unfriendly nature of commonly used domestic
fuel wood"	direct/proxy measurements	Lab measurements of ashes	NR	NR	NR	NR	NR	Increase/More than comparator	NR
493	"Omaka ON, Nwabue FI, Itumoh EJ, Okeke GN. Gas emissions and metallic contents of commonly used fuelwood in Nigeria. Environment and Pollution, 2013;2: 100-106"	2013	NR	Plot/sample site(s)	Shaki-West Local Government Area (L.G.A) of Oyo State	Nigeria	"8.6438092,1.982478"	charcoal	Control-Impact	Soil samples in burnt and unburnt soils	Woodlands	Open woodland vegetation similar to derived savanna	Natural	slightly degraded	na	Living trees 	Living trees 	processing		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	na	NR	NR	NR	NR	high local	NR	NR	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	Soil lab measurements	NR	NR	NR	NR	NR	Increase/More than comparator	NR
495	Osei WY. Woodfuel use in Ghana: its nature and impact at the village level. Digitized Theses. 1989  http://ir.lib.uwo.ca/digitizedtheses/1822	1989	1989	Plot/sample site(s)	Tontro village in Eastern Region	Ghana	"6.2716554,-0.386399"	both	Multiple case studies	"Three villages with different characteristics, compared for impacts"	Mixed	Forest and savanna	Natural	slightly degraded		Deadwood 	Mix of deadwood and living trees	multiple or other (specify)	Harvesting and processing	NR	NR	NR	NR	NR	NR	NR	NR	NR	Mixed (specify)	"Private, but also community and open access"	No	300 to 25 pp/km2	Increase/inward	NR	agriculture / livestock	30-60 km	high local - high external	domestic and commercial use	"Several indirect causes mentioned in the dissertation, but none measured directly"	multiple	multiple (specify)	Measurements and interviews	Neutral/No change						"Economic and monetary impacts used, but similar results (negligible)."						multiple (specify)	Direct measurements and interviews	Neutral/No change	Decrease/Less than comparator	NR	NR	NR	Decrease/Less than comparator	NR
517	"Pennise DM, Smith KR, Kithinji JP, Rezende ME, Raad TJ, Zhang JF, Fan CW. Emissions of greenhouse gases and other airborne pollutants from charcoal making in Kenya and Brazil. Journal of Geophysical Research-Atmospheres 2001; 106: 143-155,"	2001	NR	Plot/sample site(s)	Kilns tested at University of Nairobi and in an undefined plantation (plus tests in Brazil)	Kenya	"-1.3015016,36.7615812"	charcoal	Multiple case studies	Kilns compared across models and countries for emissions	NR	NR	NR	NR	NR	NR	NR	processing		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	na	NR	NR	NR	NR	NR	NR	NR	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	Direct measurement of emissions from kilns of different format and sourced with different types of timber	NR	NR	NR	NR	Increase/More than comparator	NR	NR
525	"Ramadhani T, Otsyina R, Franzel S. Improving household incomes and reducing deforestation using rotational woodlots in Tabora district, Tanzania. Agriculture Ecosystems and  Environment 2002; 89: 229–239"	2000	1998	County/District/Dpt	Tabora	Tanzania	"-5.0378044,32.7787126"	firewood	Control-Impact	Maize fallow	Savanna	Miombo	Planted	NR	NR	Deadwood 	NR	tree growing	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	State	NR	NR	"1,313,000"	NR	NR	agriculture / livestock	NR	high local - high external	domestic and commercial use	Tobacco curing	socioeconomic	respondent perceptions/recall	Questionnaire survey	Increase/More than comparator	Neutral/No change	NR	NR	Increase/More than comparator	Increase/More than comparator	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
533	"Rehfuess EA, Tzala L, Best N, Briggs DJ, Joffe M. Solid fuel use and cooking practices as a major risk factor for ALRI mortality among African children. Journal of Epidemiology and Community Health 2009; 63:887–892"	2009	2003	International	Sub Saharan africa			both	Control-Impact	Use of other fuels	NR	NR	NR	NR	NR	NR	NR	consumption	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR		NR	NR	NR	health	NR	NR	NR	NR	NR	NR	NR	NR	NR	respondent perceptions/recall	WHO  WHS survey	NR	Increase/More than comparator	mortality	NR	NR	NR	NR	NR	NR	NR	NR	NR
534	"Rembold F, Oduori SM, Gadain H, Toselli P. Mapping charcoal driven forest degradation during the main period of Al Shabaab control in Southern Somalia. Energy for Sustainable Development 2013; 17:510-514"	2013	2011	Province/region	Southern Somalia-Juba	Somalia	"-0.358, 42.545"	charcoal	Time series	No of charcoal sites over time	NR	Dominated by Aciacia sp	Natural	mostly degraded	71sqkm	NR	NR	multiple or other (specify)	Harvesting and processing	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	10-30 km	low local - high external	mostly commercial/processing use	Demand in middle east	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	Very High Resolution Sattelite Imagery	Mixed	Decrease/Less than comparator	Decrease/Less than comparator	NR	NR	NR	NR
540	"Rives F, Antona M, Aubert S. Social-ecological Functions and Vulnerability Framework to Analyze Forest Policy Reforms. Ecology and Society 2012; 17:21 http://dx.doi.org/10.5751/ES-05182-170421 "	2012	1993	Village/city	Ninpelina	Niger	"13.5128499,2.0489943"	firewood	None (single case study)	Gum harvesting and livestock production	NR	NR	Natural	slightly degraded	7940ha	Deadwood 	Mix of deadwood and living trees	multiple or other (specify)	Harvesting and marketing	present	present	NR	multiple or other (specify)	Management of forest and harveesting. Trade of firewood	> 15 years	present	environmental	Forest Law	Community	NR	No	370adults	NR	NR	mixed	NR	low local - high external	mostly domestic use	NR	socioeconomic	respondent perceptions/recall	"nterviews, Key informantsurvey"	Mixed	NR	NR	Decrease/Less than comparator	NR	NR	Labour allocation to other livelihood activities	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
543	Ruuska E. Unsustainable charcoal production as a contributing factor to woodland fragmentation in southeast Kenya. Fennia 2013; 191: 58-75 	2013	2011	Designated area/reserve	Dakatcha Woodland	Kenya	"-3.0274158,39.8017931"	charcoal	Time series	NR	Woodlands	Miombo	Natural	mostly degraded	NR	NR	NR	harvesting	NR	present	NR	NR	multiple or other (specify)	Harvesting and transportation	5-10 years	present	environmental	Management plan 2010	NR	NR	NR	"30,000 pple"	NR	below poverty line / food insecure	agriculture / livestock	NR	low local - high external	mostly domestic use	"agriculture expansion, fires"	multiple	NR	NR	NR	NR	NR	NR	NR	NR		NR	NR	NR	NR	NR	direct/proxy measurements	"Remote sensing, and GIS"	Decrease/Less than comparator	Mixed	Decrease/Less than comparator	NR	NR	NR	NR
544	"Ryan CM, Berry NJ, Joshi N. Quantifying the causes of deforestation and degradation and creating transparent REDD plus baselines: A method and case study from central Mozambique. Applied Geography 2014; 53:45–54"	2014	2011	Province/region	Gondola district	Mozambique	"-19.0827369,33.6295535"	charcoal	Time series	"2007, 2008, 2009 and 2010; "	Woodlands	Miombo	Natural	NR	NR	Deadwood 	NR	harvesting	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	"1,440,000"	Increase/inward	NR	agriculture / livestock	NR	NR	mostly domestic use	agriculture expansion	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	models/projections 	Radar remote sensing	NR	NR	NR	Decrease/Less than comparator	NR	NR	NR
554	"Sanyal DK, Maduna ME. Possible relationship between indoor pollution and respiratory illness in an Eastern Cape community. South African Journal of Science, 2000; 96:94-96"	2000	1996	Village/city	Ku-Nanstelamanzi	South Africa	"-32.7670314,26.8407631"	firewood	Time series	"Who standards, living vs cooking area, income groups over a yr"	NR	NR	NR	NR	NR	NR	NR	consumption	NR	NR	NR	NR	NR		NR	NR	NR	NR	NR	NR	NR	NR	NR	below poverty line / food insecure	NR	< 10 km	NR	mostly domestic use		health	NR	NR	NR	NR	NR	NR	NR	NR		multiple (specify)	Recording monitor and survey	Increase/More than comparator	Increase/More than comparator	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
557	"Schure J. Woodfuel for urban markets in the Congo Basin: a livelihood perspective, PhD dissertation, Wageningen University 2014;186pp"	2014	2012	International	Central and West Africa			both	Multiple case studies	Formalised and non formalised trade	Mixed	Congo  tropical forests	Natural	NR	NR	Mix of deadwood and living trees	Mix of deadwood and living trees	multiple or other (specify)	"harvesting, processing, marketing"	present	NR	NR	multiple or other (specify)	"Harvesting, transportation, marketing"	10-15 years	absent	environmental	"Informal, traditional rules of access to trees, harvesting times and method"	Mixed (specify)	State and traditional	No	NR	Increase/inward	below poverty line / food insecure	agriculture / livestock	NR	low local - high external		urban influx and lack of employment	socioeconomic	respondent perceptions/recall	"surveys, observations, KI"	Decrease/Less than comparator	Decrease/Less than comparator	NR	Decrease/Less than comparator	Increase/More than comparator	Decrease/Less than comparator	Basic needs cover	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
557	"Schure J. Woodfuel for urban markets in the Congo Basin: a livelihood perspective, PhD dissertation, Wageningen University 2014;186pp"	2014	2011	Province/region	Kinshasa	Congo (Democratic Republic)	"-4.4476821,16.1962508"	both	Multiple case studies	"Location and income groups, charcoal vs fuelwood"	Forests	Congo  tropical forests	Natural	slightly degraded	NR	Mix of deadwood and living trees	Mix of deadwood and living trees	multiple or other (specify)	"harvesting, processing, marketing"	present	NR	NR	multiple or other (specify)	"Harvesting, transportation, marketing"	10-15 years	absent	environmental	"Informal, traditional rules of access to trees, harvesting times and method"	Mixed (specify)	State and traditional	No	"Kinshasa 9.9mil, Kisangani, 6.6mil"	Increase/inward	below poverty line / food insecure	agriculture / livestock	NR	low local - high external		urban influx and lack of employment	multiple	respondent perceptions/recall	"surveys, observations, KI"	Increase/More than comparator	Increase/More than comparator	Increase/More than comparator	Mixed	Mixed	Increase/More than comparator	Basic needs cover	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
557	"Schure J. Woodfuel for urban markets in the Congo Basin: a livelihood perspective, PhD dissertation, Wageningen University 2014;186pp"	2014	2011	Province/region	Kinshasa	Congo (Democratic Republic)	"-4.5883811,15.1597595"	both	Multiple case studies	"Location and income groups, charcoal vs fuelwood"	Forests	Congo  tropical forests	Natural	slightly degraded	NR	Mix of deadwood and living trees	Mix of deadwood and living trees	multiple or other (specify)	"harvesting, processing, marketing"	present	NR	NR	multiple or other (specify)	"Harvesting, transportation, marketing"	10-15 years	absent	environmental	"Informal, traditional rules of access to trees, harvesting times and method"	Mixed (specify)	State and traditional	No	"Kinshasa 9.9mil, Kisangani, 6.6mil"	Increase/inward	below poverty line / food insecure	agriculture / livestock	NR	low local - high external		urban influx and lack of employment	multiple	respondent perceptions/recall	"surveys, observations, KI"	Increase/More than comparator	Increase/More than comparator	Increase/More than comparator	Mixed	Mixed	Increase/More than comparator	Basic needs cover	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
557	"Schure J. Woodfuel for urban markets in the Congo Basin: a livelihood perspective, PhD dissertation, Wageningen University 2014;186pp"	2014	2011	Province/region	Kisangani	Congo (Democratic Republic)	"0.5236994,25.1746129"	both	Multiple case studies	"Location and income groups, charcoal vs fuelwood"	Forests	Congo  tropical forests	Natural	slightly degraded	NR	Mix of deadwood and living trees	Mix of deadwood and living trees	multiple or other (specify)	"harvesting, processing, marketing"	present	NR	NR	multiple or other (specify)	"Harvesting, transportation, marketing"	10-15 years	absent	environmental	"Informal, traditional rules of access to trees, harvesting times and method"	Mixed (specify)	State and traditional	No	"Kinshasa 9.9mil, Kisangani, 6.6mil"	Increase/inward	below poverty line / food insecure	agriculture / livestock	NR	low local - high external		urban influx and lack of employment	multiple	respondent perceptions/recall	"surveys, observations, KI"	Increase/More than comparator	Increase/More than comparator	Increase/More than comparator	Mixed	Mixed	Increase/More than comparator	Basic needs cover	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
558	"Schure J. Woodfuel and producers' livelihoods in the Congo Basin, Forest-People Interfaces: Understanding Community Forestry and Biocultural Diversity In Arts, B.J.M., van Bommel, S., Ros-Tonen, M.A.F., Verschoor, G.M. (eds) Forest people interfaces; Understanding community forestry and biocultural diversity,  Wageningen Academic Publishers, 2012: 87 - 104"	2012	2011	Province/region	Kinshasa region	Congo (Democratic Republic)	"-4.4011293,15.2527049"	both	None (single case study)	Income groups/ value chain actors	NR	NR	NR	NR	NR	NR	NR	trade/marketing		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	"5,8milpple"	NR	above poverty line / food secure	agriculture / livestock	> 60 km	NR	domestic and commercial use	NR	socioeconomic	respondent perceptions/recall	Questionnaire survey	Mixed	NR	Increase/More than comparator	NR	Mixed	Increase/More than comparator	Basic needs cover	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
